Guilmet, P 		0	0	7.1	1.77	-	0.78	.371	.552	.923	7.36	4.91	11.05	1.50	16.91
Gurka, J 		0	0	7.2	2.35	-	1.00	.462	.676	1.137	8.22	2.35	18.78	3.50	18.65
Hagadone, N 		0	1	27.1	1.54	.000	0.69	.341	.400	.741	9.22	3.95	9.88	2.33	16.76
Hall, C 		0	0	8.1	1.68	-	1.38	.366	.389	.755	7.56	4.32	10.80	1.75	18.24
Hand, D 		0	0	3.0	1.00	-	5.00	.308	.273	.580	9.00	3.00	6.00	3.00	19.67
Hatley, M 		0	0	1.1	2.25	-	-	.429	.200	.629	13.50	13.50	6.75	1.00	18.00
Hessler, K 		0	1	12.1	1.62	.000	0.92	.351	.623	.974	8.76	2.92	11.68	3.00	17.11
Hill, T 		0	0	12.0	1.50	-	1.30	.373	.522	.894	6.75	3.00	10.50	2.25	16.50
House, T 		0	4	13.0	2.54	.000	2.88	.479	.466	.945	4.85	8.31	14.54	0.58	21.31
Houser, A 		0	0	2.0	1.50	-	-	.375	.167	.542	0.00	9.00	4.50	0.00	17.50
Huff, D 		0	0	6.0	2.00	-	5.50	.448	.630	1.078	6.00	1.50	16.50	4.00	15.67
Hynes, C 		0	0	3.0	3.33	-	-	.556	.563	1.118	12.00	6.00	24.00	2.00	19.67
Ibarra, E 		0	0	4.0	1.75	-	1.25	.368	.313	.681	6.75	6.75	9.00	1.00	20.00
Jackson, J 		0	0	4.1	1.85	-	1.00	.400	.474	.874	8.31	2.08	14.54	4.00	16.85
Jackson, L 		0	0	6.1	1.11	-	1.33	.259	.360	.619	8.53	2.84	7.11	3.00	17.37
Jaime, J 		0	1	1.1	3.00	.000	2.00	.571	.000	.571	6.75	27.00	0.00	0.25	27.00
Jenkins, C 		0	0	3.2	1.64	-	0.29	.353	.429	.782	4.91	7.36	7.36	0.67	21.82
Jimenez, C 		0	0	23.0	1.09	-	1.41	.275	.301	.576	9.78	3.13	6.65	3.13	16.13
Johnson, B 		0	1	4.1	1.62	.000	0.80	.368	.214	.583	6.23	8.31	6.23	0.75	20.08
Johnson, S 		0	0	5.1	2.44	-	0.86	.448	.708	1.157	5.06	8.44	13.50	0.60	21.19
Jones, G 		0	0	0.2	1.50	-	1.00	.500	.000	.500	0.00	13.50	0.00	0.00	25.50
Jordan, T 		0	2	17.0	1.53	.000	1.35	.342	.362	.704	5.82	3.18	10.59	1.83	15.00
Kahnle, T 		0	1	33.1	1.77	.000	2.00	.383	.395	.778	10.53	7.56	8.37	1.39	19.62
Kelly, C 		0	2	11.1	1.94	.000	1.60	.411	.500	.911	5.56	2.38	15.09	2.33	17.74
Kelly, R 		0	0	16.2	1.62	-	1.06	.370	.582	.952	5.40	3.24	11.34	1.67	15.54
Kintzler, B 		0	1	7.0	2.43	.000	11.00	.472	.548	1.021	9.00	6.43	15.43	1.40	21.29
Knebel, C 		0	0	50.1	1.21	-	1.38	.301	.442	.744	10.37	3.04	7.87	3.41	16.51
Knudson, G 		0	0	5.0	3.20	-	0.80	.516	1.143	1.659	10.80	5.40	23.40	2.00	23.80
Kohn, M 		0	0	4.2	1.29	-	0.29	.316	.000	.316	7.71	11.57	0.00	0.67	17.14
LaFromboise, B 		0	0	8.0	0.75	-	1.14	.207	.357	.564	9.00	1.13	5.63	8.00	13.75
LaRoche, A 		0	0	1.0	0.00	-	1.00	.000	.000	.000	9.00	0.00	0.00	-	12.00
Lazo, R 		0	0	5.2	1.24	-	0.50	.292	.524	.815	7.94	3.18	7.94	2.50	16.94
Leathersich, J 		0	1	11.2	1.63	.000	1.25	.385	.341	.726	10.80	5.40	9.26	2.00	19.46
LeCure, S 		0	2	20.0	1.15	.000	1.81	.280	.392	.672	6.75	3.15	7.20	2.14	15.15
Lee, C 		0	0	1.2	3.00	-	-	.500	.556	1.056	16.20	5.40	21.60	3.00	23.40
Lee, Z 		0	1	4.2	2.57	.000	3.50	.500	.739	1.239	5.79	1.93	21.21	3.00	19.29
Leon, A 		0	2	26.2	1.46	.000	1.04	.342	.437	.779	6.41	3.04	10.13	2.11	15.98
Leone, D 		0	5	15.0	1.87	.000	1.00	.392	.492	.884	5.40	5.40	11.40	1.00	19.13
Lindgren, J 		0	0	7.0	1.29	-	1.00	.310	.625	.935	10.29	5.14	6.43	2.00	16.57
Logan, B 		0	3	35.1	1.61	.000	1.21	.371	.385	.756	11.21	4.33	10.19	2.59	18.62
Luetge, L 		0	0	2.1	0.86	-	1.00	.250	.000	.250	7.71	7.71	0.00	1.00	14.14
Marimon, S 		0	1	25.2	1.71	.000	0.74	.379	.540	.919	4.91	4.91	10.52	1.00	16.29
Mariot, M 		0	0	3.0	1.33	-	0.40	.333	.500	.833	3.00	6.00	6.00	0.50	14.67
Marksberry, M 		0	3	23.1	1.63	.000	0.66	.361	.416	.777	8.10	6.17	8.49	1.31	17.49
Marshall, E 		0	2	13.1	1.88	.000	1.90	.410	.589	.999	4.73	3.38	13.50	1.40	16.73
Martin, C 		0	2	20.2	1.65	.000	1.71	.354	.424	.777	7.84	2.61	12.19	3.00	18.92
Mazzaro, V 		0	0	12.0	1.75	-	0.47	.382	.468	.850	4.50	4.50	11.25	1.00	16.67
Mazzoni, C 		0	0	8.2	3.23	-	1.43	.528	.787	1.316	8.31	5.19	23.88	1.60	23.19
McGough, S 		0	0	6.2	2.40	-	4.00	.457	.484	.941	5.40	5.40	16.20	1.00	21.60
