Gonzalez, C 		4	6	3.90	67.0	49	33	29	6	32	30	.202	1.21
Gott, T 		4	2	3.02	47.2	43	18	16	2	16	27	.242	1.24
Greene, S 		4	8	6.88	83.2	103	67	64	13	27	50	.308	1.55
Hand, B 		4	7	5.30	93.1	107	55	55	9	32	67	.292	1.49
Herrera, K 		4	3	2.71	69.2	52	23	21	5	26	64	.206	1.12
Holland, D 		4	3	4.91	58.2	59	32	32	11	17	41	.269	1.30
Hudson, D 		4	3	3.86	67.2	64	34	29	7	25	71	.245	1.32
Hunter, T 		4	2	4.18	60.1	61	29	28	7	14	47	.265	1.24
Jackson, E 		4	3	3.07	55.2	44	25	19	4	21	40	.218	1.17
Kimbrel, C 		4	2	2.58	59.1	40	19	17	6	22	87	.185	1.04
Kontos, G 		4	4	2.33	73.1	57	20	19	9	12	44	.213	0.94
Latos, M 		4	10	4.95	116.1	120	67	64	13	32	100	.267	1.31
Lorenzen, M 		4	9	5.40	113.1	131	70	68	18	57	83	.292	1.66
Maness, S 		4	2	4.26	63.1	77	35	30	7	13	46	.307	1.42
Masterson, J 		4	2	5.61	59.1	68	38	37	7	27	49	.289	1.60
Matz, S 		4	0	2.27	35.2	34	9	9	4	10	34	.250	1.23
McAllister, Z 		4	4	3.00	69.0	70	28	23	7	23	84	.258	1.35
Montgomery, M 		4	6	4.60	90.0	92	49	46	11	37	64	.261	1.43
Morales, F 		4	2	3.18	62.1	58	24	22	4	14	41	.246	1.16
Morin, M 		4	2	6.37	35.1	36	28	25	3	9	41	.265	1.27
Owens, H 		4	4	4.57	63.0	62	35	32	7	24	50	.255	1.37
Papelbon, J 		4	3	2.13	63.1	53	22	15	7	12	56	.225	1.03
Petricka, J 		4	3	3.63	52.0	56	21	21	2	18	33	.284	1.42
Phelps, D 		4	8	4.50	112.0	119	59	56	11	33	77	.272	1.36
Richard, C 		4	2	3.83	42.1	47	18	18	3	7	22	.272	1.28
Roark, T 		4	7	4.38	111.0	119	55	54	17	26	70	.279	1.31
Robles, H 		4	3	3.67	54.0	37	27	22	8	18	61	.190	1.02
Rodriguez, F 		4	2	3.84	58.2	43	27	25	4	24	65	.200	1.14
Roe, C 		4	2	4.14	41.1	44	19	19	4	17	38	.280	1.48
Scheppers, T 		4	1	5.63	38.1	37	25	24	6	23	32	.250	1.57
Socolovich, M 		4	1	1.82	29.2	25	7	6	1	10	27	.221	1.18
Stroman, M 		4	0	1.67	27.0	20	5	5	2	6	18	.208	0.96
Villanueva, C 		4	3	2.95	61.0	50	21	20	6	21	55	.223	1.16
Watson, T 		4	1	1.91	75.1	55	17	16	3	17	62	.205	0.96
Williams, J 		4	12	5.80	121.0	161	83	78	22	34	74	.317	1.61
Worley, V 		4	6	4.02	71.2	81	36	32	6	21	49	.287	1.42
Andriese, M 		3	5	4.11	65.2	69	32	30	8	18	49	.267	1.32
Barnes, M 		3	4	5.44	43.0	56	28	26	9	15	39	.311	1.65
Barrett, A 		3	3	4.60	29.1	28	15	15	1	7	35	.248	1.19
Bellatti, A 		3	1	2.31	23.1	16	7	6	4	10	18	.198	1.11
Bergman, C 		3	1	4.74	68.1	82	36	36	8	15	37	.306	1.42
Boyer, B 		3	6	2.49	65.0	62	24	18	5	19	33	.254	1.25
Brooks, A 		3	4	6.67	55.1	73	41	41	9	14	38	.322	1.57
Butler, E 		3	10	5.90	79.1	102	57	52	13	42	44	.322	1.82
Davies, Z 		3	2	3.71	34.0	26	14	14	2	15	24	.211	1.21
Doubront, F 		3	3	5.50	75.1	87	50	46	10	26	56	.298	1.50
Duke, Z 		3	6	3.41	60.2	47	26	23	9	32	66	.218	1.30
Eickhoff, J 		3	3	2.65	51.0	40	16	15	5	13	49	.212	1.04
Feliz, N 		3	4	6.38	48.0	57	34	34	5	18	39	.298	1.56
Flande, Y 		3	3	4.74	68.1	73	36	36	14	25	43	.277	1.43
Garcia, Y 		3	5	3.34	56.2	44	23	21	8	10	68	.209	0.95
Gilmartin, S 		3	2	2.67	57.1	50	17	17	2	18	54	.236	1.19
Gonzalez, S 		3	3	7.92	30.2	44	27	27	5	7	28	.346	1.66
Grilli, J 		3	4	2.94	33.2	28	13	11	2	10	45	.217	1.13
Grimm, J 		3	5	1.99	49.2	31	18	11	4	26	67	.178	1.15
Hatcher, C 		3	5	3.69	39.0	35	19	16	4	13	45	.238	1.23
Hawkins, L 		3	1	3.26	38.2	44	16	14	4	7	34	.286	1.32
Hernandez, R 		3	5	4.36	84.2	90	48	41	9	26	42	.275	1.37
Holland, G 		3	2	3.83	44.2	39	20	19	2	26	49	.239	1.46
Hughes, J 		3	1	2.28	67.0	70	21	17	3	19	36	.282	1.33
Iglesias, R 		3	7	4.15	95.1	81	45	44	11	28	104	.228	1.14
Jepsen, K 		3	6	2.33	69.2	52	20	18	5	27	59	.206	1.13
Johnson, E 		3	1	3.34	35.0	32	14	13	8	17	30	.248	1.40
Lobstein, K 		3	8	5.94	63.2	78	43	42	7	23	32	.305	1.59
Lyons, T 		3	1	3.75	60.0	59	29	25	12	15	60	.252	1.23
Marcum, S 		3	2	5.40	35.0	32	21	21	9	11	30	.246	1.23
Marquis, J 		3	4	6.46	47.1	64	37	34	10	14	37	.330	1.65
McCarthy, B 		3	0	5.87	23.0	24	15	15	9	4	29	.267	1.22
Melancon, M 		3	2	2.23	76.2	57	22	19	4	14	62	.207	0.93
Miller, A 		3	2	2.04	61.2	33	16	14	5	20	100	.151	0.86
Miller, J 		3	3	4.05	33.1	21	15	15	2	11	38	.178	0.96
Moore, M 		3	4	5.43	63.0	74	40	38	9	23	46	.298	1.54
Mujica, E 		3	5	4.75	47.1	52	28	25	10	7	30	.284	1.25
Narveson, C 		3	1	4.45	30.1	24	15	15	7	9	32	.214	1.09
Neshek, P 		3	6	3.62	54.2	49	25	22	8	12	51	.240	1.12
Norris, B 		3	11	6.72	83.0	100	68	62	15	31	71	.297	1.58
Norris, D 		3	2	3.75	60.0	53	31	25	9	19	45	.236	1.20
Oberg, S 		3	4	5.09	58.1	58	35	33	10	31	44	.266	1.53
Ogando, A 		3	1	3.99	65.1	59	29	29	12	28	53	.242	1.33
Ohlendorf, R 		3	1	3.72	19.1	21	8	8	4	7	19	.273	1.45
Paxton, J 		3	4	3.90	67.0	67	34	29	8	29	56	.253	1.43
Peralta, J 		3	1	4.34	29.0	28	14	14	6	8	24	.248	1.24
Perez, M 		3	6	4.46	78.2	88	45	39	3	24	48	.285	1.42
Perkins, G 		3	5	3.32	57.0	58	21	21	9	10	54	.256	1.19
Pressly, R 		3	2	2.93	27.2	27	9	9	0	12	22	.257	1.41
Putnam, Z 		3	3	4.07	48.2	42	24	22	7	24	64	.239	1.36
Quackenbush, K 		3	2	4.01	58.1	52	28	26	6	20	58	.240	1.23
Qualls, C 		3	5	4.38	49.1	46	24	24	6	9	46	.247	1.11
Reed, A 		3	3	3.38	56.0	58	21	21	3	19	51	.262	1.38
Shaw, B 		3	3	2.95	64.0	59	24	21	8	19	54	.242	1.22
