,Date,USDBRLV1W,USDBRLV1M,Spread,USDBRLV3M,USDBRLV6M,Spread
T,04/21/2016,21.46,19.86,1.6,19.827,19.632,0.195
W,04/20/2016,17.975,19.682,-1.707,19.755,19.54,0.215
T,04/19/2016,20.2075,21.435,-1.2275,20.225,19.75,0.475
M,04/18/2016,22.6425,22.645,-0.0025,20.88,20.283,0.597
F,04/15/2016,32.66,25.465,7.195,22.188,20.765,1.423
T,04/14/2016,34.0975,25.64,8.4575,22.17,20.88,1.29
W,04/13/2016,34.715,26.545,8.17,22.34,20.7,1.64
T,04/12/2016,32.705,27.065,5.64,22.705,20.955,1.75
M,04/11/2016,33.9625,27.83,6.1325,23.16,21.217,1.943
F,04/08/2016,24.94,26.77,-1.83,23.135,20.94,2.195
T,04/07/2016,22.8075,25.86,-3.0525,22.645,20.737,1.908
W,04/06/2016,22.09,25.875,-3.785,22.575,21.362,1.213
T,04/05/2016,24.42,26.955,-2.535,23.663,21.89,1.773
M,04/04/2016,23.75,25.122,-1.372,23.035,21.325,1.71
F,04/01/2016,23.545,23.295,0.25,22.298,20.91,1.388
T,03/31/2016,22.96,22.695,0.265,21.83,20.7,1.13
W,03/30/2016,21.105,21.862,-0.757,20.993,20.2,0.793
T,03/29/2016,21.57,21.787,-0.217,21.228,20.445,0.783
M,03/28/2016,22.59,22.263,0.327,21.55,20.752,0.798
F,03/25/2016,22.24,21.915,0.325,21.32,20.56,0.76
T,03/24/2016,20.3425,21.76,-1.4175,21.327,20.493,0.834
W,03/23/2016,21.5575,22.362,-0.8045,21.795,20.827,0.968
T,03/22/2016,20.2,21.565,-1.365,20.775,20.21,0.565
M,03/21/2016,21.085,22.313,-1.228,21.245,20.493,0.752
F,03/18/2016,24.92,23.443,1.477,21.763,20.803,0.96
T,03/17/2016,27.445,24.34,3.105,22.8,21.635,1.165
W,03/16/2016,24.78,23.798,0.982,22.182,21.315,0.867
T,03/15/2016,26.725,24.248,2.477,22.353,21.25,1.103
M,03/14/2016,25.29,23.188,2.102,21.46,20.568,0.892
F,03/11/2016,25.135,22.38,2.755,20.938,20.252,0.686
T,03/10/2016,26.125,22.525,3.6,21.545,20.61,0.935
W,03/09/2016,21.135,21.25,-0.115,20.29,19.87,0.42
T,03/08/2016,20.425,20.7,-0.275,19.735,19.507,0.228
M,03/07/2016,22.095,21.205,0.89,19.82,19.52,0.3
F,03/04/2016,23.595,21.052,2.543,19.78,19.45,0.33
T,03/03/2016,20.465,19.075,1.39,18.783,18.79,-0.007
W,03/02/2016,17.98,18.095,-0.115,18.245,18.675,-0.43
T,03/01/2016,19.045,18.93,0.115,18.967,19.23,-0.263
M,02/29/2016,19.6325,19.475,0.1575,19.335,19.43,-0.095
F,02/26/2016,20.01,19.135,0.875,19.283,19.455,-0.172
T,02/25/2016,18.5725,18.845,-0.2725,19.24,19.393,-0.153
W,02/24/2016,19.0025,19.925,-0.9225,19.69,19.815,-0.125
T,02/23/2016,18.9125,19.84,-0.9275,19.77,19.925,-0.155
M,02/22/2016,19.235,20.007,-0.772,20.005,19.995,0.01
F,02/19/2016,19.1925,19.93,-0.7375,20.127,20.318,-0.191
T,02/18/2016,19.7275,20.7,-0.9725,20.18,20.205,-0.025
W,02/17/2016,18.6925,20.072,-1.3795,19.965,20.085,-0.12
T,02/16/2016,19.385,19.948,-0.563,20.08,20.222,-0.142
M,02/15/2016,18.6675,19.432,-0.7645,19.855,20.01,-0.155
F,02/12/2016,19.115,19.825,-0.71,20.255,20.285,-0.03
T,02/11/2016,20.315,20.743,-0.428,20.95,20.94,0.01
W,02/10/2016,19.27,20.235,-0.965,20.255,20.353,-0.098
T,02/09/2016,19.7325,20.655,-0.9225,20.385,20.445,-0.06
M,02/08/2016,18.235,20.497,-2.262,20.327,20.302,0.025
F,02/05/2016,16.8425,19.085,-2.2425,19.585,19.745,-0.16
T,02/04/2016,17.325,19.28,-1.955,19.685,19.73,-0.045
W,02/03/2016,16.015,18.747,-2.732,19.225,19.53,-0.305
T,02/02/2016,16.94,18.517,-1.577,19.237,19.41,-0.173
M,02/01/2016,17.8475,18.445,-0.5975,19.35,19.38,-0.03
F,01/29/2016,19.57,18.34,1.23,19.495,19.65,-0.155
T,01/28/2016,19.9325,19.08,0.8525,19.45,19.595,-0.145
W,01/27/2016,20.61,19.563,1.047,19.638,19.74,-0.102
T,01/26/2016,18.6625,18.478,0.1845,19.025,19.28,-0.255
M,01/25/2016,18.9475,19.103,-0.1555,19.495,19.775,-0.28
F,01/22/2016,18.98,18.868,0.112,19.5,19.685,-0.185
T,01/21/2016,20.7725,20.313,0.4595,20.605,20.625,-0.02
W,01/20/2016,20.32,20.182,0.138,20.23,20.195,0.035
T,01/19/2016,18.2675,18.815,-0.5475,19.3,19.56,-0.26
M,01/18/2016,18.7075,19.195,-0.4875,19.485,19.618,-0.133
F,01/15/2016,18.16,18.795,-0.635,19.44,19.58,-0.14
T,01/14/2016,17.43,18.397,-0.967,19.388,19.505,-0.117
W,01/13/2016,17.675,19.265,-1.59,19.67,19.7,-0.03
T,01/12/2016,18.35,19.82,-1.47,19.95,19.847,0.103
M,01/11/2016,18.96,20.033,-1.073,20.03,19.908,0.122
F,01/08/2016,19.465,19.65,-0.185,20.02,19.932,0.088
T,01/07/2016,20.095,20.4,-0.305,19.925,19.927,-0.002
W,01/06/2016,19.985,20.255,-0.27,19.995,19.87,0.125
T,01/05/2016,21.645,21.347,0.298,20.763,20.53,0.233
M,01/04/2016,26.19,24.715,1.475,22.998,22.165,0.833
F,01/01/2016,22.045,23.885,-1.84,22.69,21.932,0.758
T,12/31/2015,22.0725,23.608,-1.5355,22.75,21.882,0.868
W,12/30/2015,21.5425,23.478,-1.9355,22.595,21.897,0.698
T,12/29/2015,19.7475,22.705,-2.9575,22.088,21.445,0.643
M,12/28/2015,18.74,22.522,-3.782,22.105,21.533,0.572
F,12/25/2015,19.6925,22.01,-2.3175,22.035,21.415,0.62
T,12/24/2015,18.925,21.413,-2.488,21.868,21.397,0.471
W,12/23/2015,17.895,21.455,-3.56,21.778,21.358,0.42
T,12/22/2015,19.845,22.26,-2.415,22.24,21.608,0.632
M,12/21/2015,20.8425,23.257,-2.4145,22.903,22.208,0.695
F,12/18/2015,21.2175,22.125,-0.9075,22.618,21.923,0.695
T,12/17/2015,22.6525,21.395,1.2575,21.603,21.077,0.526
W,12/16/2015,23.8625,22.272,1.5905,21.775,21.22,0.555
T,12/15/2015,28.015,22.75,5.265,21.748,21.005,0.743
M,12/14/2015,28.145,23.063,5.082,21.917,21.2,0.717
F,12/11/2015,28.525,22.595,5.93,22.007,21.135,0.872
T,12/10/2015,25.235,21.265,3.97,21.33,20.935,0.395
W,12/09/2015,20.355,20.073,0.282,20.19,19.948,0.242
T,12/08/2015,20.08,20.235,-0.155,20.217,19.998,0.219
M,12/07/2015,19.495,20,-0.505,19.783,19.61,0.173
F,12/04/2015,19.4375,19.475,-0.0375,19.7,19.38,0.32
T,12/03/2015,22.405,20.435,1.97,20.013,19.735,0.278
W,12/02/2015,23.0125,21.35,1.6625,19.855,19.568,0.287
T,12/01/2015,22.58,21.395,1.185,19.875,19.532,0.343
M,11/30/2015,23.3925,22.115,1.2775,20.265,19.815,0.45
F,11/27/2015,20.5475,19.877,0.6705,19.208,19.01,0.198
T,11/26/2015,19.13,19.48,-0.35,18.823,18.728,0.095
W,11/25/2015,17.925,19.175,-1.25,18.765,18.705,0.06
T,11/24/2015,15.45,18.623,-3.173,17.972,18.237,-0.265
M,11/23/2015,15.515,19.042,-3.527,18.44,18.795,-0.355
F,11/20/2015,15.6,18.755,-3.155,18.373,18.737,-0.364
T,11/19/2015,17.64,19.313,-1.673,19.04,19.24,-0.2
W,11/18/2015,18,19.985,-1.985,19.25,19.42,-0.17
T,11/17/2015,18.7525,20.347,-1.5945,19.64,19.743,-0.103
M,11/16/2015,19.15,20.39,-1.24,20.073,20.03,0.043
F,11/13/2015,20.085,20.417,-0.332,20.34,20.335,0.005
T,11/12/2015,19.69,19.93,-0.24,20.055,20.015,0.04
W,11/11/2015,19.295,20.257,-0.962,19.978,19.97,0.008
T,11/10/2015,18.9225,20.15,-1.2275,19.903,19.943,-0.04
M,11/09/2015,19.275,20.595,-1.32,20.085,20.07,0.015
F,11/06/2015,19.5725,19.92,-0.3475,20.022,20.095,-0.073
T,11/05/2015,20.665,20.24,0.425,20.263,20.167,0.096
W,11/04/2015,21.375,20.82,0.555,20.498,20.313,0.185
T,11/03/2015,20.91,20.528,0.382,20.212,20.097,0.115
M,11/02/2015,20.535,20.445,0.09,20.302,20.173,0.129
F,10/30/2015,20.6525,20.335,0.3175,20.397,20.24,0.157
T,10/29/2015,19.94,20.337,-0.397,20.39,20.38,0.01
W,10/28/2015,20.325,20.84,-0.515,20.733,20.69,0.043
T,10/27/2015,20.535,21.405,-0.87,21.307,21.267,0.04
M,10/26/2015,22.06,22.202,-0.142,21.745,21.55,0.195
F,10/23/2015,22.845,21.908,0.937,21.693,21.57,0.123
T,10/22/2015,21.815,21.588,0.227,21.565,21.35,0.215
W,10/21/2015,23.86,24.362,-0.502,23.272,22.722,0.55
T,10/20/2015,24.985,25.597,-0.612,24.147,23.595,0.552
M,10/19/2015,27.865,26.525,1.34,24.673,23.98,0.693
F,10/16/2015,26.49,25.068,1.422,24.065,23.37,0.695
T,10/15/2015,25.22,24.655,0.565,23.795,23.167,0.628
W,10/14/2015,24.43,24.932,-0.502,23.752,23.185,0.567
T,10/13/2015,25.8875,25.765,0.1225,24.195,23.42,0.775
M,10/12/2015,23.5275,24.19,-0.6625,23.23,22.725,0.505
F,10/09/2015,22.935,23.97,-1.035,23.327,22.92,0.407
T,10/08/2015,22.1,23.38,-1.28,22.807,22.382,0.425
W,10/07/2015,22.7,23.88,-1.18,23.087,22.595,0.492
T,10/06/2015,21.07,22.74,-1.67,22.115,21.955,0.16
M,10/05/2015,22.9525,23.56,-0.6075,22.945,22.565,0.38
F,10/02/2015,24.37,23.805,0.565,23.423,23.068,0.355
T,10/01/2015,27.8175,26.03,1.7875,24.877,24.05,0.827
W,09/30/2015,28.7475,27.035,1.7125,25.13,24.25,0.88
T,09/29/2015,31.565,28.075,3.49,25.642,24.665,0.977
M,09/28/2015,32.58,27.642,4.938,25.592,24.6,0.992
F,09/25/2015,32.715,26.853,5.862,25.478,24.337,1.141
T,09/24/2015,30.1125,26.865,3.2475,25.555,24.478,1.077
W,09/23/2015,27.01,25.515,1.495,24.125,23.015,1.11
T,09/22/2015,25.6775,24.333,1.3445,23.44,22.5,0.94
M,09/21/2015,23.9675,23.193,0.7745,22.555,21.715,0.84
F,09/18/2015,23.18,22.333,0.847,22.4,21.575,0.825
T,09/17/2015,20.5625,20.212,0.3505,20.685,20.475,0.21
W,09/16/2015,22.515,21.12,1.395,21,20.365,0.635
T,09/15/2015,24.295,22.81,1.485,22.165,21.32,0.845
M,09/14/2015,26.1,23.075,3.025,22.472,21.6,0.872
F,09/11/2015,26.44,23.04,3.4,22.525,21.52,1.005
T,09/10/2015,23.46,23.783,-0.323,22.263,21.36,0.903
W,09/09/2015,21.7025,22.645,-0.9425,21.568,20.785,0.783
T,09/08/2015,21.735,22.345,-0.61,21.225,20.448,0.777
M,09/07/2015,22.655,22.948,-0.293,21.66,20.677,0.983
F,09/04/2015,22.125,22.365,-0.24,21.475,20.445,1.03
T,09/03/2015,22.37,21.65,0.72,20.855,20.21,0.645
W,09/02/2015,23.515,22.245,1.27,20.972,20.205,0.767
T,09/01/2015,22.0325,21.25,0.7825,20,19.537,0.463
M,08/31/2015,21.9475,20.895,1.0525,19.653,19.245,0.408
F,08/28/2015,21.44,19.688,1.752,19.077,18.677,0.4
T,08/27/2015,19.985,19.665,0.32,18.905,18.632,0.273
W,08/26/2015,21.62,20.975,0.645,19.44,18.997,0.443
T,08/25/2015,19.44,19.8,-0.36,18.807,18.537,0.27
M,08/24/2015,20.7025,19.467,1.2355,18.445,18.33,0.115
F,08/21/2015,18.4975,18.665,-0.1675,18.163,18.097,0.066
T,08/20/2015,18.195,18.47,-0.275,18.038,17.75,0.288
W,08/19/2015,17.245,17.545,-0.3,17.763,17.722,0.041
T,08/18/2015,16.805,17.365,-0.56,17.757,17.725,0.032
M,08/17/2015,17.4125,17.465,-0.0525,17.835,17.82,0.015
F,08/14/2015,17.73,17.445,0.285,17.74,17.715,0.025
T,08/13/2015,18.49,17.955,0.535,18.07,17.938,0.132
W,08/12/2015,18.6025,18.265,0.3375,18.142,17.945,0.197
T,08/11/2015,19.31,18.85,0.46,18.693,18.228,0.465
M,08/10/2015,18.635,18.298,0.337,18.287,17.985,0.302
F,08/07/2015,19.88,18.845,1.035,18.655,18.185,0.47
T,08/06/2015,20.355,18.975,1.38,18.673,18.035,0.638
W,08/05/2015,19.865,18.528,1.337,18.25,17.663,0.587
T,08/04/2015,19.8975,18.682,1.2155,17.955,17.43,0.525
M,08/03/2015,20.105,18.563,1.542,17.708,17.202,0.506
F,07/31/2015,20.1325,17.702,2.4305,17.625,17.04,0.585
T,07/30/2015,18.17,17.23,0.94,17.343,16.942,0.401
W,07/29/2015,18.9475,18.557,0.3905,17.733,17.287,0.446
T,07/28/2015,21.0825,18.635,2.4475,17.757,17.22,0.537
M,07/27/2015,20.38,18.79,1.59,17.752,17.115,0.637
F,07/24/2015,22.545,19.095,3.45,17.767,17.095,0.672
T,07/23/2015,22.32,18.17,4.15,17.507,16.908,0.599
W,07/22/2015,16.8875,16.525,0.3625,16.2,16.24,-0.04
T,07/21/2015,15.29,15.795,-0.505,15.847,16.115,-0.268
M,07/20/2015,15.61,15.885,-0.275,16.07,16.153,-0.083
F,07/17/2015,15.0825,14.782,0.3005,15.273,15.61,-0.337
T,07/16/2015,14.04,14.56,-0.52,15.16,15.568,-0.408
W,07/15/2015,15.405,15.41,-0.005,15.542,15.813,-0.271
T,07/14/2015,15.2575,15.608,-0.3505,15.542,15.755,-0.213
M,07/13/2015,15.845,14.915,0.93,15.977,16.002,-0.025
F,07/10/2015,14.29,15.64,-1.35,15.942,16.007,-0.065
T,07/09/2015,17.0575,15.93,1.1275,15.92,16.038,-0.118
W,07/08/2015,16.58,15.923,0.657,15.997,16.087,-0.09
T,07/07/2015,14.97,15.35,-0.38,15.743,15.93,-0.187
M,07/06/2015,14.73,14.202,0.528,15.392,15.597,-0.205
F,07/03/2015,15.295,15.01,0.285,15.417,15.685,-0.268
T,07/02/2015,16.7175,15.243,1.4745,15.38,15.645,-0.265
W,07/01/2015,16.8375,16.195,0.6425,15.823,15.888,-0.065
T,06/30/2015,17.57,16.112,1.458,15.825,15.89,-0.065
M,06/29/2015,18.1575,16.228,1.9295,15.817,15.898,-0.081
F,06/26/2015,17.3125,15.18,2.1325,15.487,15.63,-0.143
T,06/25/2015,18.3875,15.36,3.0275,15.442,15.6,-0.158
W,06/24/2015,16.0575,15.432,0.6255,15.425,15.573,-0.148
T,06/23/2015,14.2,15.472,-1.272,15.672,15.802,-0.13
M,06/22/2015,15.08,15.467,-0.387,15.737,15.792,-0.055
F,06/19/2015,16.0875,15.945,0.1425,16.095,15.977,0.118
T,06/18/2015,18.7275,15.793,2.9345,16.025,15.96,0.065
W,06/17/2015,18.2475,16.858,1.3895,16.503,16.45,0.053
T,06/16/2015,17.93,17.118,0.812,16.568,16.478,0.09
M,06/15/2015,18.155,17.055,1.1,16.597,16.56,0.037
F,06/12/2015,17.9475,16.728,1.2195,16.555,16.56,-0.005
T,06/11/2015,17.62,17.517,0.103,17.165,17.077,0.088
W,06/10/2015,16.5575,17.055,-0.4975,16.868,16.813,0.055
T,06/09/2015,17.065,17.292,-0.227,16.91,16.81,0.1
M,06/08/2015,17.53,17.525,0.005,17.37,17.257,0.113
F,06/05/2015,19.0925,18.053,1.0395,17.507,17.118,0.389
T,06/04/2015,21.6325,18.667,2.9655,17.72,17.173,0.547
W,06/03/2015,20.59,18.49,2.1,17.685,17.11,0.575
T,06/02/2015,20.8775,18.97,1.9075,17.74,17.343,0.397
M,06/01/2015,21.145,19.108,2.037,17.85,17.462,0.388
F,05/29/2015,19.1025,18.61,0.4925,17.713,17.31,0.403
T,05/28/2015,20.795,18.86,1.935,17.827,17.337,0.49
W,05/27/2015,20.835,19.702,1.133,18.017,17.532,0.485
T,05/26/2015,20.38,19.673,0.707,18.108,17.57,0.538
M,05/25/2015,19.8275,19.375,0.4525,18.015,17.665,0.35
F,05/22/2015,17.8925,19.04,-1.1475,17.932,17.54,0.392
T,05/21/2015,18.5925,18.3,0.2925,17.362,17.125,0.237
W,05/20/2015,17.8125,18.745,-0.9325,17.68,17.365,0.315
T,05/19/2015,17.65,18.865,-1.215,17.89,17.507,0.383
M,05/18/2015,18.395,19.112,-0.717,17.925,17.513,0.412
F,05/15/2015,19.685,19.212,0.473,18.403,17.9,0.503
T,05/14/2015,20.125,19.302,0.823,18.515,17.963,0.552
W,05/13/2015,20.1525,19.693,0.4595,18.59,18.007,0.583
T,05/12/2015,20.195,19.897,0.298,18.71,18.167,0.543
M,05/11/2015,20.695,20.017,0.678,18.713,18.095,0.618
F,05/08/2015,20.0525,19.22,0.8325,18.307,17.51,0.797
T,05/07/2015,25.385,20.7,4.685,18.968,17.955,1.013
W,05/06/2015,24.8175,20.858,3.9595,19.04,18.138,0.902
T,05/05/2015,25.6225,21.028,4.5945,19.08,18.165,0.915
M,05/04/2015,22.5275,20.865,1.6625,19.065,18.03,1.035
F,05/01/2015,22.215,19.563,2.652,18.497,17.69,0.807
T,04/30/2015,20.93,19.27,1.66,18.215,17.42,0.795
W,04/29/2015,20.1675,18.498,1.6695,17.52,17.085,0.435
T,04/28/2015,20.64,18.767,1.873,17.52,17.15,0.37
M,04/27/2015,18.725,17.522,1.203,17.03,16.927,0.103
F,04/24/2015,18.1675,17.397,0.7705,17.263,17.068,0.195
T,04/23/2015,19.9625,17.755,2.2075,17.42,17.2,0.22
W,04/22/2015,18.2775,18.083,0.1945,17.49,17.13,0.36
T,04/21/2015,18.61,18.26,0.35,17.743,17.41,0.333
M,04/20/2015,18.32,18.25,0.07,17.74,17.403,0.337
F,04/17/2015,18.495,18.035,0.46,17.712,17.42,0.292
T,04/16/2015,20.09,17.653,2.437,17.495,17.23,0.265
W,04/15/2015,17.5575,17.737,-0.1795,17.315,17.14,0.175
T,04/14/2015,17.6775,18.118,-0.4405,17.607,17.415,0.192
M,04/13/2015,20.1225,19.162,0.9605,18.43,17.855,0.575
F,04/10/2015,19.505,19.447,0.058,18.375,17.94,0.435
T,04/09/2015,20.5375,19.6,0.9375,18.628,18.015,0.613
W,04/08/2015,19.6975,19.048,0.6495,18.25,17.685,0.565
T,04/07/2015,21.085,19.603,1.482,18.65,18.048,0.602
M,04/06/2015,22.12,19.825,2.295,19.23,18.118,1.112
F,04/03/2015,21.7775,20.032,1.7455,19.318,18.228,1.09
T,04/02/2015,22.7975,20.395,2.4025,19.623,18.4,1.223
W,04/01/2015,24.7875,21.717,3.0705,20.313,19.007,1.306
T,03/31/2015,24.99,22.638,2.352,21.063,19.315,1.748
M,03/30/2015,25.505,22.66,2.845,21.333,19.65,1.683
F,03/27/2015,25.0075,22.522,2.4855,21.403,19.493,1.91
T,03/26/2015,26.5775,22.493,4.0845,20.943,19.107,1.836
W,03/25/2015,25.3925,22.132,3.2605,20.005,18.4,1.605
T,03/24/2015,26.9825,22.75,4.2325,19.995,18.243,1.752
M,03/23/2015,26.2925,22.233,4.0595,19.193,17.952,1.241
F,03/20/2015,25.8325,21.838,3.9945,19.323,18.158,1.165
T,03/19/2015,25.9875,21.695,4.2925,19.493,18.248,1.245
W,03/18/2015,24.7025,20.815,3.8875,18.923,17.88,1.043
T,03/17/2015,26.6475,21.998,4.6495,19.487,18.563,0.924
M,03/16/2015,25.435,21.78,3.655,19.522,18.522,1
F,03/13/2015,26.255,21.87,4.385,19.685,18.713,0.972
T,03/12/2015,24.315,20.11,4.205,18.79,18.015,0.775
W,03/11/2015,23.555,20.397,3.158,18.385,17.893,0.492
T,03/10/2015,24.165,20.69,3.475,18.55,18.16,0.39
M,03/09/2015,23.5225,20.235,3.2875,18.19,17.772,0.418
F,03/06/2015,19.095,18.295,0.8,17.458,17.175,0.283
T,03/05/2015,21.62,18.47,3.15,17.2,16.94,0.26
W,03/04/2015,21.8775,18.64,3.2375,17.158,16.877,0.281
T,03/03/2015,20.1425,17.795,2.3475,16.695,16.522,0.173
M,03/02/2015,18.9475,17.403,1.5445,16.272,16.165,0.107
F,02/27/2015,18.2425,17.015,1.2275,16.212,16.063,0.149
T,02/26/2015,20.6675,17.212,3.4555,16.147,16.097,0.05
W,02/25/2015,17.405,16.943,0.462,16.108,16.01,0.098
T,02/24/2015,17.39,16.89,0.5,16.142,16.022,0.12
M,02/23/2015,18.655,17.568,1.087,16.175,15.98,0.195
F,02/20/2015,17.71,17.39,0.32,16.49,16.028,0.462
T,02/19/2015,18.3275,17.61,0.7175,16.427,15.958,0.469
W,02/18/2015,17.68,17.385,0.295,16.31,15.875,0.435
T,02/17/2015,15.9625,16.995,-1.0325,16.315,15.837,0.478
M,02/16/2015,16.525,16.92,-0.395,16.138,15.833,0.305
F,02/13/2015,16.3125,17.147,-0.8345,16.205,15.783,0.422
T,02/12/2015,17.2175,17.452,-0.2345,16.568,16.02,0.548
W,02/11/2015,18.79,18.23,0.56,16.85,16.32,0.53
T,02/10/2015,17.0925,17.48,-0.3875,15.96,15.54,0.42
M,02/09/2015,16.935,16.938,-0.003,15.43,15.173,0.257
F,02/06/2015,16.4225,16.865,-0.4425,15.672,15.28,0.392
T,02/05/2015,18.58,15.73,2.85,15.05,14.863,0.187
W,02/04/2015,18.665,16.19,2.475,15.102,15.003,0.099
T,02/03/2015,17.82,15.745,2.075,15.083,14.823,0.26
M,02/02/2015,18.795,15.57,3.225,14.77,14.557,0.213
F,01/30/2015,18.73,15.09,3.64,14.313,14.313,0
T,01/29/2015,14.46,13.2,1.26,13.265,13.455,-0.19
W,01/28/2015,13.42,12.675,0.745,12.807,13.092,-0.285
T,01/27/2015,13.65,12.762,0.888,12.8,13.073,-0.273
M,01/26/2015,14.4775,13.515,0.9625,13.43,13.545,-0.115
F,01/23/2015,14,13.577,0.423,13.635,13.722,-0.087
T,01/22/2015,14.93,13.868,1.062,13.852,13.993,-0.141
W,01/21/2015,16.56,14.743,1.817,14.423,14.31,0.113
T,01/20/2015,16.355,14.88,1.475,14.613,14.398,0.215
M,01/19/2015,16.4,14.733,1.667,14.635,14.41,0.225
F,01/16/2015,15.91,14.583,1.327,14.493,14.36,0.133
T,01/15/2015,16.3325,14.425,1.9075,14.445,14.42,0.025
W,01/14/2015,14.955,14.577,0.378,13.917,13.85,0.067
T,01/13/2015,14.895,14.493,0.402,14.032,14.09,-0.058
M,01/12/2015,14.27,14.525,-0.255,14.323,14.435,-0.112
F,01/09/2015,13.395,14.038,-0.643,14.063,14.215,-0.152
T,01/08/2015,14.525,14.673,-0.148,14.542,14.57,-0.028
W,01/07/2015,15.2325,15.153,0.0795,14.705,14.59,0.115
T,01/06/2015,15.955,15.405,0.55,14.778,14.78,-0.002
M,01/05/2015,16.92,15.82,1.1,15.02,14.79,0.23
F,01/02/2015,12.39,15.038,-2.648,14.73,14.632,0.098
T,01/01/2015,14.625,14.905,-0.28,14.755,14.507,0.248
W,12/31/2014,13.355,14.865,-1.51,14.733,14.507,0.226
T,12/30/2014,13.3,14.855,-1.555,14.632,14.54,0.092
M,12/29/2014,12.445,14.445,-2,14.523,14.5,0.023
F,12/26/2014,12.925,14.35,-1.425,14.51,14.512,-0.002
T,12/25/2014,14.475,14.903,-0.428,14.91,14.788,0.122
W,12/24/2014,14.525,14.84,-0.315,14.882,14.778,0.104
T,12/23/2014,14.495,14.905,-0.41,14.802,14.735,0.067
M,12/22/2014,14.54,14.905,-0.365,14.788,14.685,0.103
F,12/19/2014,14.975,14.747,0.228,14.74,14.682,0.058
T,12/18/2014,16.03,15.59,0.44,15.422,15.188,0.234
W,12/17/2014,17.915,16.783,1.132,15.78,15.477,0.303
T,12/16/2014,21.0975,17.705,3.3925,16.46,16.075,0.385
M,12/15/2014,20.555,16.425,4.13,15.725,15.298,0.427
F,12/12/2014,19.195,14.945,4.25,14.497,14.255,0.242
T,12/11/2014,18.4375,14.3,4.1375,13.977,13.865,0.112
W,12/10/2014,15.11,13.575,1.535,13.347,13.25,0.097
T,12/09/2014,15.105,13.46,1.645,13.128,13.15,-0.022
M,12/08/2014,15.66,13.802,1.858,13.215,13.145,0.07
F,12/05/2014,15.855,13.448,2.407,13.132,13.115,0.017
T,12/04/2014,16.46,13.192,3.268,12.93,12.93,0
W,12/03/2014,17.21,13.93,3.28,12.903,12.835,0.068
T,12/02/2014,16.35,14.212,2.138,13.138,13.035,0.103
M,12/01/2014,17.3625,14.342,3.0205,13.458,13.27,0.188
F,11/28/2014,16.32,14.035,2.285,13.355,13.34,0.015
T,11/27/2014,16.325,13.99,2.335,13.292,13.21,0.082
W,11/26/2014,16.34,14.335,2.005,13.565,13.47,0.095
T,11/25/2014,16.105,14.655,1.45,13.938,13.808,0.13
M,11/24/2014,17.355,16.533,0.822,14.815,14.68,0.135
F,11/21/2014,18.145,17.105,1.04,15.118,14.817,0.301
T,11/20/2014,20.1525,17.455,2.6975,15.433,15.205,0.228
W,11/19/2014,17.445,17.173,0.272,15.192,14.958,0.234
T,11/18/2014,17.72,17.22,0.5,15.22,15.005,0.215
M,11/17/2014,15.6725,15.965,-0.2925,15.175,14.998,0.177
F,11/14/2014,18.6625,16.465,2.1975,15.253,14.975,0.278
T,11/13/2014,17.15,16.15,1,15.058,14.84,0.218
W,11/12/2014,16.515,16.25,0.265,14.962,14.747,0.215
T,11/11/2014,17.475,16.95,0.525,15.343,14.945,0.398
M,11/10/2014,18.525,17.95,0.575,15.712,15.278,0.434
F,11/07/2014,19.9375,18.41,1.5275,16.14,15.462,0.678
T,11/06/2014,22.3,17.945,4.355,15.862,15.227,0.635
W,11/05/2014,22,17.62,4.38,15.47,15.058,0.412
T,11/04/2014,21.485,17.392,4.093,15.315,14.983,0.332
M,11/03/2014,22.675,16.98,5.695,15.02,14.57,0.45
F,10/31/2014,21.2825,16.135,5.1475,14.618,14.375,0.243
T,10/30/2014,19.11,15.61,3.5,14.205,14.145,0.06
W,10/29/2014,19.5,15.505,3.995,14.11,14.077,0.033
T,10/28/2014,17.69,15.183,2.507,14.045,13.95,0.095
M,10/27/2014,24.785,16.47,8.315,14.5,14.15,0.35
F,10/24/2014,37.195,21.55,15.645,17.045,15.285,1.76
T,10/23/2014,37.3175,22.895,14.4225,17.413,15.605,1.808
W,10/22/2014,37.1725,25.673,11.4995,18.442,16.145,2.297
T,10/21/2014,38.405,26.355,12.05,18.767,16.595,2.172
M,10/20/2014,38.5725,23.905,14.6675,18.65,16.545,2.105
F,10/17/2014,22.41,23.87,-1.46,18.588,16.533,2.055
T,10/16/2014,26.7575,25.145,1.6125,19.513,17.37,2.143
W,10/15/2014,27.0525,25.505,1.5475,19.19,17.112,2.078
T,10/14/2014,24.2625,24.642,-0.3795,19.022,16.862,2.16
M,10/13/2014,28.07,23.108,4.962,18.733,16.792,1.941
F,10/10/2014,20.4125,23.897,-3.4845,18.427,16.627,1.8
T,10/09/2014,22.8625,23.135,-0.2725,18.068,16.375,1.693
W,10/08/2014,22.4825,22.56,-0.0775,17.667,16.182,1.485
T,10/07/2014,18.67,20.427,-1.757,16.487,15.392,1.095
M,10/06/2014,19.0075,17.932,1.0755,15.692,15.052,0.64
F,10/03/2014,16.1075,17.91,-1.8025,15.495,14.81,0.685
T,10/02/2014,18.27,18.74,-0.47,16.112,15.292,0.82
W,10/01/2014,19.8025,19.93,-0.1275,16.765,15.648,1.117
