"","Date","iRate"
"958","7/13/2012","7.3278"
"957","7/16/2012","7.3353"
"956","7/17/2012","7.4334"
"955","7/18/2012","7.3902"
"954","7/19/2012","7.3392"
"953","7/20/2012","7.3919"
"952","7/23/2012","7.3604"
"951","7/24/2012","7.3662"
"950","7/25/2012","7.3321"
"949","7/26/2012","7.387"
"948","7/27/2012","7.4611"
"947","7/30/2012","7.426"
"946","7/31/2012","7.4342"
"945","8/1/2012","7.4482"
"944","8/2/2012","7.3722"
"943","8/3/2012","7.4121"
"942","8/6/2012","7.4003"
"941","8/7/2012","7.3832"
"940","8/8/2012","7.4401"
"939","8/9/2012","7.3773"
"938","8/10/2012","7.4701"
"937","8/13/2012","7.4601"
"936","8/14/2012","7.4601"
"935","8/15/2012","7.4601"
"934","8/16/2012","7.4901"
"933","8/17/2012","7.5001"
"932","8/20/2012","7.486"
"931","8/21/2012","7.4752"
"930","8/22/2012","7.5121"
"929","8/23/2012","7.5426"
"928","8/24/2012","7.5566"
"927","8/27/2012","7.4884"
"926","8/28/2012","7.4583"
"925","8/29/2012","7.3955"
"924","8/30/2012","7.4741"
"923","8/31/2012","7.471"
"922","9/3/2012","7.4207"
"921","9/4/2012","7.4797"
"920","9/5/2012","7.4747"
"919","9/6/2012","7.4773"
"918","9/10/2012","7.5091"
"917","9/11/2012","7.4905"
"916","9/12/2012","7.4909"
"915","9/13/2012","7.4637"
"914","9/14/2012","7.4794"
"913","9/17/2012","7.5199"
"912","9/18/2012","7.5357"
"911","9/19/2012","7.5384"
"910","9/20/2012","7.5366"
"909","9/21/2012","7.5151"
"908","9/24/2012","7.515"
"907","9/25/2012","7.4788"
"906","9/26/2012","7.5038"
"905","9/27/2012","7.4985"
"904","9/28/2012","7.4665"
"903","10/1/2012","7.4515"
"902","10/2/2012","7.4396"
"901","10/3/2012","7.3992"
"900","10/4/2012","7.379"
"899","10/5/2012","7.2173"
"898","10/8/2012","7.2407"
"897","10/9/2012","7.2432"
"896","10/10/2012","7.2682"
"895","10/11/2012","7.2631"
"894","10/12/2012","7.2578"
"893","10/15/2012","7.2984"
"892","10/16/2012","7.2451"
"891","10/17/2012","7.2812"
"890","10/18/2012","7.2657"
"889","10/19/2012","7.2672"
"888","10/22/2012","7.2684"
"887","10/23/2012","7.264"
"886","10/24/2012","7.2204"
"885","10/25/2012","7.2219"
"884","10/26/2012","7.2144"
"883","10/29/2012","7.2352"
"882","10/30/2012","7.243"
"881","10/31/2012","7.237"
"880","11/1/2012","7.2567"
"879","11/5/2012","7.2231"
"878","11/6/2012","7.2192"
"877","11/7/2012","7.2295"
"876","11/8/2012","7.2362"
"875","11/9/2012","7.2594"
"874","11/12/2012","7.2639"
"873","11/13/2012","7.287"
"872","11/14/2012","7.3278"
"871","11/16/2012","7.2839"
"870","11/19/2012","7.259"
"869","11/20/2012","7.28"
"868","11/21/2012","7.2691"
"867","11/22/2012","7.2578"
"866","11/23/2012","7.2486"
"865","11/26/2012","7.2536"
"864","11/27/2012","7.2321"
"863","11/28/2012","7.2462"
"862","11/29/2012","7.2691"
"861","11/30/2012","7.1691"
"860","12/3/2012","7.1669"
"859","12/4/2012","7.1386"
"858","12/5/2012","7.0747"
"857","12/6/2012","6.8579"
"856","12/7/2012","6.9869"
"855","12/10/2012","7.0462"
"854","12/11/2012","7.0867"
"853","12/12/2012","7.0945"
"852","12/13/2012","7.0769"
"851","12/14/2012","7.0516"
"850","12/17/2012","7.0773"
"849","12/18/2012","7.0631"
"848","12/19/2012","7.0878"
"847","12/20/2012","7.1575"
"846","12/21/2012","7.1698"
"845","12/24/2012","7.1647"
"844","12/25/2012","7.1647"
"843","12/26/2012","7.1333"
"842","12/27/2012","7.1321"
"841","12/28/2012","7.1342"
"840","1/2/2013","7.1282"
"839","1/3/2013","7.1096"
"838","1/4/2013","7.1337"
"837","1/7/2013","7.115"
"836","1/8/2013","7.1606"
"835","1/9/2013","7.143"
"834","1/10/2013","7.1056"
"833","1/11/2013","7.0963"
"832","1/14/2013","7.0977"
"831","1/15/2013","7.1086"
"830","1/16/2013","7.1595"
"829","1/17/2013","7.2018"
"828","1/18/2013","7.1815"
"827","1/21/2013","7.1884"
"826","1/22/2013","7.175"
"825","1/23/2013","7.1856"
"824","1/24/2013","7.2238"
"823","1/25/2013","7.31"
"822","1/28/2013","7.2593"
"821","1/29/2013","7.2173"
"820","1/30/2013","7.2138"
"819","1/31/2013","7.2161"
"818","2/1/2013","7.2805"
"817","2/4/2013","7.2783"
"816","2/5/2013","7.2852"
"815","2/6/2013","7.3307"
"814","2/7/2013","7.3884"
"813","2/8/2013","7.4338"
"812","2/13/2013","7.4379"
"811","2/14/2013","7.4301"
"810","2/15/2013","7.7027"
"809","2/18/2013","7.8063"
"808","2/19/2013","7.8621"
"807","2/20/2013","7.7767"
"806","2/21/2013","7.759"
"805","2/22/2013","7.9074"
"804","2/25/2013","7.9031"
"803","2/26/2013","7.8963"
"802","2/27/2013","7.8134"
"801","2/28/2013","7.7065"
"800","3/1/2013","7.7043"
"799","3/4/2013","7.7259"
"798","3/5/2013","7.7495"
"797","3/6/2013","7.7545"
"796","3/7/2013","7.8826"
"795","3/8/2013","8.026"
"794","3/11/2013","7.9428"
"793","3/12/2013","8.0134"
"792","3/13/2013","8.0584"
"791","3/14/2013","8.0098"
"790","3/15/2013","7.9685"
"789","3/18/2013","7.9809"
"788","3/19/2013","7.9318"
"787","3/20/2013","7.9466"
"786","3/21/2013","7.938"
"785","3/22/2013","7.9039"
"784","3/25/2013","7.913"
"783","3/26/2013","7.9462"
"782","3/27/2013","7.8948"
"781","3/28/2013","7.9349"
"780","3/29/2013","7.8902"
"779","4/1/2013","7.9312"
"778","4/2/2013","7.9191"
"777","4/3/2013","8.0092"
"776","4/4/2013","7.999"
"775","4/5/2013","7.9172"
"774","4/8/2013","7.9706"
"773","4/9/2013","8.0234"
"772","4/10/2013","8.0684"
"771","4/11/2013","8.0832"
"770","4/12/2013","8.3069"
"769","4/15/2013","8.285"
"768","4/16/2013","8.3596"
"767","4/17/2013","8.3039"
"766","4/18/2013","7.9644"
"765","4/19/2013","7.9923"
"764","4/22/2013","7.9445"
"763","4/23/2013","7.9438"
"762","4/24/2013","7.9764"
"761","4/25/2013","8.0579"
"760","4/26/2013","8.002"
"759","4/29/2013","8.0114"
"758","4/30/2013","8.02"
"757","5/2/2013","7.9749"
"756","5/3/2013","8.0321"
"755","5/6/2013","8.0033"
"754","5/7/2013","7.9465"
"753","5/8/2013","7.9706"
"752","5/9/2013","7.996"
"751","5/10/2013","8.0811"
"750","5/13/2013","8.0512"
"749","5/14/2013","8.1321"
"748","5/15/2013","8.1211"
"747","5/16/2013","8.2078"
"746","5/17/2013","8.2266"
"745","5/20/2013","8.31"
"744","5/21/2013","8.2749"
"743","5/22/2013","8.3005"
"742","5/23/2013","8.2888"
"741","5/24/2013","8.3313"
"740","5/27/2013","8.3256"
"739","5/28/2013","8.3371"
"738","5/29/2013","8.2568"
"737","5/31/2013","8.6711"
"736","6/3/2013","8.7033"
"735","6/4/2013","8.6876"
"734","6/5/2013","8.7768"
"733","6/6/2013","8.8987"
"732","6/7/2013","8.9047"
"731","6/10/2013","9.032"
"730","6/11/2013","9.0484"
"729","6/12/2013","9.2755"
"728","6/13/2013","9.0867"
"727","6/14/2013","9.2406"
"726","6/17/2013","9.3956"
"725","6/18/2013","9.5859"
"724","6/19/2013","9.7771"
"723","6/20/2013","9.7813"
"722","6/21/2013","9.8568"
"721","6/24/2013","9.5957"
"720","6/25/2013","9.4407"
"719","6/26/2013","9.4216"
"718","6/27/2013","9.3148"
"717","6/28/2013","9.3667"
"716","7/1/2013","9.3741"
"715","7/2/2013","9.2541"
"714","7/3/2013","9.2283"
"713","7/4/2013","9.2144"
"712","7/5/2013","9.2218"
"711","7/8/2013","9.1817"
"710","7/9/2013","9.1702"
"709","7/10/2013","9.108"
"708","7/11/2013","9.1752"
"707","7/12/2013","9.2185"
"706","7/15/2013","9.2464"
"705","7/16/2013","9.1378"
"704","7/17/2013","9.0907"
"703","7/18/2013","9.0444"
"702","7/19/2013","9.0815"
"701","7/22/2013","9.0765"
"700","7/23/2013","9.0026"
"699","7/24/2013","9.0478"
"698","7/25/2013","9.0712"
"697","7/26/2013","9.1341"
"696","7/29/2013","9.1997"
"695","7/30/2013","9.2468"
"694","7/31/2013","9.2348"
"693","8/1/2013","9.4756"
"692","8/2/2013","9.3999"
"691","8/5/2013","9.3943"
"690","8/6/2013","9.41"
"689","8/7/2013","9.3974"
"688","8/8/2013","9.3837"
"687","8/9/2013","9.334"
"686","8/12/2013","9.454"
"685","8/13/2013","9.5662"
"684","8/14/2013","9.6606"
"683","8/15/2013","9.6872"
"682","8/16/2013","9.948"
"681","8/19/2013","10.2316"
"680","8/20/2013","9.9586"
"679","8/21/2013","10.1732"
"678","8/22/2013","10.1865"
"677","8/23/2013","9.8835"
"676","8/26/2013","9.9667"
"675","8/27/2013","10.0048"
"674","8/28/2013","9.9363"
"673","8/29/2013","10.1161"
"672","8/30/2013","10.1903"
"671","9/2/2013","10.1948"
"670","9/3/2013","10.1733"
"669","9/4/2013","10.2013"
"668","9/5/2013","10.1577"
"667","9/6/2013","9.9749"
"666","9/9/2013","10.0222"
"665","9/10/2013","10.0314"
"664","9/11/2013","10.0912"
"663","9/12/2013","10.1882"
"662","9/13/2013","10.172"
"661","9/16/2013","10.2091"
"660","9/17/2013","10.1231"
"659","9/18/2013","9.9075"
"658","9/19/2013","9.94"
"657","9/20/2013","9.8857"
"656","9/23/2013","9.9184"
"655","9/24/2013","9.8501"
"654","9/25/2013","9.8613"
"653","9/26/2013","9.978"
"652","9/27/2013","9.9477"
"651","9/30/2013","10.0805"
"650","10/1/2013","10.1066"
"649","10/2/2013","10.138"
"648","10/3/2013","10.0139"
"647","10/4/2013","9.9864"
"646","10/7/2013","9.9616"
"645","10/8/2013","9.9829"
"644","10/9/2013","9.954"
"643","10/10/2013","10.1537"
"642","10/11/2013","10.2424"
"641","10/14/2013","10.2608"
"640","10/15/2013","10.25"
"639","10/16/2013","10.2453"
"638","10/17/2013","10.3026"
"637","10/18/2013","10.3874"
"636","10/21/2013","10.4357"
"635","10/22/2013","10.4135"
"634","10/23/2013","10.3735"
"633","10/24/2013","10.4208"
"632","10/25/2013","10.3801"
"631","10/28/2013","10.4105"
"630","10/29/2013","10.4392"
"629","10/30/2013","10.4599"
"628","10/31/2013","10.4797"
"627","11/1/2013","10.5612"
"626","11/4/2013","10.5237"
"625","11/5/2013","10.5915"
"624","11/6/2013","10.6555"
"623","11/7/2013","10.7795"
"622","11/8/2013","10.8383"
"621","11/11/2013","10.8802"
"620","11/12/2013","10.8333"
"619","11/13/2013","10.7438"
"618","11/14/2013","10.6947"
"617","11/15/2013","10.7031"
"616","11/18/2013","10.6439"
"615","11/19/2013","10.6725"
"614","11/20/2013","10.6737"
"613","11/21/2013","10.7782"
"612","11/22/2013","10.7655"
"611","11/25/2013","10.821"
"610","11/26/2013","10.7457"
"609","11/27/2013","10.7362"
"608","11/28/2013","10.5499"
"607","11/29/2013","10.589"
"606","12/2/2013","10.664"
"605","12/3/2013","10.6639"
"604","12/4/2013","10.6028"
"603","12/5/2013","10.5953"
"602","12/6/2013","10.565"
"601","12/9/2013","10.5374"
"600","12/10/2013","10.5202"
"599","12/11/2013","10.4318"
"598","12/12/2013","10.4336"
"597","12/13/2013","10.4642"
"596","12/16/2013","10.4527"
"595","12/17/2013","10.4327"
"594","12/18/2013","10.4343"
"593","12/19/2013","10.5054"
"592","12/20/2013","10.6108"
"591","12/23/2013","10.5879"
"590","12/24/2013","10.5915"
"589","12/26/2013","10.6174"
"588","12/27/2013","10.562"
"587","12/30/2013","10.5567"
"586","12/31/2013","10.5584"
"585","1/2/2014","10.5481"
"584","1/6/2014","10.5434"
"583","1/7/2014","10.5225"
"582","1/8/2014","10.565"
"581","1/9/2014","10.565"
"580","1/10/2014","10.645"
"579","1/13/2014","10.7131"
"578","1/14/2014","10.7896"
"577","1/15/2014","10.76"
"576","1/16/2014","10.975"
"575","1/17/2014","10.9296"
"574","1/20/2014","11.0315"
"573","1/21/2014","11.0735"
"572","1/22/2014","11.1095"
"571","1/23/2014","11.1855"
"570","1/24/2014","11.1476"
"569","1/27/2014","11.2563"
"568","1/28/2014","11.2647"
"567","1/29/2014","11.4892"
"566","1/30/2014","11.6935"
"565","1/31/2014","11.725"
"564","2/3/2014","11.8213"
"563","2/4/2014","11.6689"
"562","2/5/2014","11.5437"
"561","2/6/2014","11.5676"
"560","2/7/2014","11.4619"
"559","2/10/2014","11.4145"
"558","2/11/2014","11.4286"
"557","2/12/2014","11.4981"
"556","2/13/2014","11.4834"
"555","2/14/2014","11.44"
"554","2/17/2014","11.345"
"553","2/18/2014","11.239"
"552","2/19/2014","11.238"
"551","2/20/2014","11.155"
"550","2/21/2014","11.146"
"549","2/24/2014","11.1578"
"548","2/25/2014","11.1209"
"547","2/26/2014","11.155"
"546","2/27/2014","11.083"
"545","2/28/2014","11.265"
"544","3/5/2014","11.205"
"543","3/6/2014","11.2096"
"542","3/7/2014","11.34"
"541","3/10/2014","11.365"
"540","3/11/2014","11.2841"
"539","3/12/2014","11.295"
"538","3/13/2014","11.365"
"537","3/14/2014","11.3219"
"536","3/17/2014","11.3323"
"535","3/18/2014","11.3757"
"534","3/19/2014","11.434"
"533","3/20/2014","11.4441"
"532","3/21/2014","11.4008"
"531","3/24/2014","11.388"
"530","3/25/2014","11.38"
"529","3/26/2014","11.3614"
"528","3/27/2014","11.3225"
"527","3/28/2014","11.3721"
"526","3/31/2014","11.395"
"525","4/1/2014","11.3934"
"524","4/2/2014","11.3383"
"523","4/3/2014","11.2884"
"522","4/4/2014","11.3012"
"521","4/7/2014","11.345"
"520","4/8/2014","11.2926"
"519","4/9/2014","11.343"
"518","4/10/2014","11.3028"
"517","4/11/2014","11.3182"
"516","4/14/2014","11.3678"
"515","4/15/2014","11.395"
"514","4/16/2014","11.37"
"513","4/17/2014","11.2802"
"512","4/18/2014","11.3142"
"511","4/22/2014","11.345"
"510","4/23/2014","11.2664"
"509","4/24/2014","11.2821"
"508","4/25/2014","11.33"
"507","4/28/2014","11.3117"
"506","4/29/2014","11.3268"
"505","4/30/2014","11.3026"
"504","5/1/2014","11.3168"
"503","5/2/2014","11.2887"
"502","5/5/2014","11.3201"
"501","5/6/2014","11.345"
"500","5/7/2014","11.2993"
"499","5/8/2014","11.3503"
"498","5/9/2014","11.2839"
"497","5/12/2014","11.3171"
"496","5/13/2014","11.33"
"495","5/14/2014","11.315"
"494","5/15/2014","11.2771"
"493","5/16/2014","11.2706"
"492","5/19/2014","11.2586"
"491","5/20/2014","11.2528"
"490","5/21/2014","11.2329"
"489","5/22/2014","11.152"
"488","5/23/2014","11.144"
"487","5/26/2014","11.1553"
"486","5/27/2014","11.1863"
"485","5/28/2014","11.1402"
"484","5/29/2014","11.15"
"483","5/30/2014","11.0768"
"482","6/2/2014","11.0848"
"481","6/3/2014","11.0907"
"480","6/4/2014","11.0675"
"479","6/5/2014","11.015"
"478","6/6/2014","10.9175"
"477","6/9/2014","10.9457"
"476","6/10/2014","11.005"
"475","6/11/2014","10.9879"
"474","6/12/2014","10.9779"
"473","6/13/2014","10.9242"
"472","6/16/2014","10.9553"
"471","6/17/2014","10.9455"
"470","6/18/2014","10.955"
"469","6/19/2014","10.9191"
"468","6/20/2014","10.9375"
"467","6/23/2014","10.9163"
"466","6/24/2014","10.9084"
"465","6/25/2014","10.8625"
"464","6/26/2014","10.8905"
"463","6/27/2014","10.8826"
"462","6/30/2014","10.8878"
"461","7/1/2014","10.8398"
"460","7/2/2014","10.8498"
"459","7/3/2014","10.859"
"458","7/4/2014","10.8649"
"457","7/7/2014","10.8443"
"456","7/8/2014","10.8472"
"455","7/10/2014","10.8872"
"454","7/11/2014","10.8798"
"453","7/14/2014","10.8662"
"452","7/15/2014","10.8774"
"451","7/16/2014","10.885"
"450","7/17/2014","10.79"
"449","7/18/2014","10.825"
"448","7/21/2014","10.8176"
"447","7/22/2014","10.7862"
"446","7/23/2014","10.835"
"445","7/24/2014","10.9161"
"444","7/25/2014","10.8577"
"443","7/28/2014","10.9007"
"442","7/29/2014","10.9118"
"441","7/30/2014","10.9558"
"440","7/31/2014","10.9598"
"439","8/1/2014","11.085"
"438","8/4/2014","11.085"
"437","8/5/2014","11.285"
"436","8/6/2014","11.225"
"435","8/7/2014","11.28"
"434","8/8/2014","11.225"
"433","8/11/2014","11.2306"
"432","8/12/2014","11.2179"
"431","8/13/2014","11.2616"
"430","8/14/2014","11.2099"
"429","8/15/2014","11.161"
"428","8/18/2014","11.1133"
"427","8/19/2014","11.0885"
"426","8/20/2014","11.1113"
"425","8/21/2014","11.14"
"424","8/22/2014","11.1124"
"423","8/25/2014","11.1079"
"422","8/26/2014","11.108"
"421","8/27/2014","11.1181"
"420","8/28/2014","11.0882"
"419","8/29/2014","11.105"
"418","9/1/2014","11.145"
"417","9/2/2014","11.175"
"416","9/3/2014","11.165"
"415","9/4/2014","11.2654"
"414","9/5/2014","11.2593"
"413","9/8/2014","11.2841"
"412","9/9/2014","11.3509"
"411","9/10/2014","11.3303"
"410","9/11/2014","11.2986"
"409","9/12/2014","11.4445"
"408","9/15/2014","11.3713"
"407","9/16/2014","11.3965"
"406","9/17/2014","11.4315"
"405","9/18/2014","11.4675"
"404","9/19/2014","11.5221"
