,Date,USDBRLH1W,USDBRLH1M,Spread,USDBRLH3M,USDBRLH6M,Spread
F,10/24/2014,18.2993,18.274,0.0253,13.833,11.698,2.135
T,10/23/2014,16.0159,18.097,-2.0815,13.275,11.423,1.852
W,10/22/2014,15.2408,18.295,-3.0545,13.149,11.491,1.658
T,10/21/2014,22.4116,18.311,4.1009,13.107,11.464,1.643
M,10/20/2014,22.1004,18.635,3.4654,13.081,11.483,1.598
F,10/17/2014,21.3004,18.315,2.9854,12.952,11.397,1.555
T,10/16/2014,18.4664,17.539,0.9272,12.675,11.186,1.489
W,10/15/2014,18.9253,17.826,1.0997,12.752,11.153,1.6
T,10/14/2014,10.9736,15.799,-4.8255,11.852,10.636,1.216
M,10/13/2014,13.1551,15.776,-2.6209,11.853,10.644,1.209
F,10/10/2014,18.9358,16.994,1.9421,11.828,10.674,1.154
T,10/09/2014,19.6213,16.919,2.7028,11.795,10.656,1.139
W,10/08/2014,18.9095,16.725,2.1848,11.683,10.745,0.938
T,10/07/2014,21.0703,16.601,4.4693,11.502,10.663,0.839
M,10/06/2014,19.7207,16.572,3.1486,11.33,10.563,0.767
F,10/03/2014,15.849,15.058,0.7912,10.661,10.218,0.443
T,10/02/2014,14.7738,14.795,-0.0216,10.526,10.24,0.286
W,10/01/2014,19.6043,14.76,4.8439,10.534,10.596,-0.062
T,09/30/2014,17.7966,13.58,4.2169,10.181,10.355,-0.174
M,09/29/2014,18.4605,13.66,4.8003,10.233,10.359,-0.126
F,09/26/2014,18.5634,13.109,5.4541,10.142,10.252,-0.109
T,09/25/2014,18.4707,13.466,5.0049,10.129,10.265,-0.136
W,09/24/2014,13.1515,11.84,1.3117,9.494,9.931,-0.436
T,09/23/2014,12.6895,11.647,1.0423,9.315,10.167,-0.852
M,09/22/2014,11.9363,11.481,0.4557,9.233,10.13,-0.898
F,09/19/2014,8.6735,10.868,-2.1949,9.024,10.026,-1.002
T,09/18/2014,16.0552,11.006,5.0492,9.026,10.026,-1
W,09/17/2014,15.849,11,4.8486,9.015,10.013,-0.998
T,09/16/2014,14.0859,10.419,3.6669,9.273,9.975,-0.702
M,09/15/2014,15.1507,10.348,4.8028,9.552,9.975,-0.423
F,09/12/2014,16.7696,10.508,6.2616,9.606,9.99,-0.384
T,09/11/2014,9.897,8.291,1.6055,8.907,9.632,-0.725
W,09/10/2014,10.1089,8.364,1.7452,8.907,9.658,-0.751
T,09/09/2014,9.8899,8.242,1.6481,8.912,9.658,-0.747
M,09/08/2014,7.8085,7.781,0.027,8.753,9.595,-0.843
F,09/05/2014,4.3776,7.174,-2.7961,8.681,9.525,-0.844
T,09/04/2014,4.5489,7.758,-3.2092,8.828,9.542,-0.714
W,09/03/2014,7.7751,7.739,0.0357,8.924,9.59,-0.666
T,09/02/2014,7.6184,8.414,-0.7959,8.906,9.586,-0.68
M,09/01/2014,10.5811,8.409,2.1717,8.908,9.661,-0.753
F,08/29/2014,10.5185,8.327,2.1915,9.406,9.641,-0.235
T,08/28/2014,10.9049,8.75,2.1544,9.528,9.638,-0.11
W,08/27/2014,9.3988,8.65,0.7491,9.379,9.55,-0.171
T,08/26/2014,9.6146,8.706,0.9088,9.393,9.585,-0.192
M,08/25/2014,6.8706,7.975,-1.1047,9.265,9.486,-0.221
F,08/22/2014,6.2154,7.921,-1.7056,9.23,9.469,-0.238
T,08/21/2014,6.5481,7.772,-1.2242,9.198,9.452,-0.254
W,08/20/2014,6.1451,7.689,-1.5438,9.18,9.541,-0.361
T,08/19/2014,6.0619,7.719,-1.6571,9.187,9.628,-0.441
M,08/18/2014,5.2699,7.683,-2.4129,9.186,9.61,-0.424
F,08/15/2014,5.8418,8.149,-2.3077,9.201,9.617,-0.415
T,08/14/2014,5.7972,8.583,-2.7858,9.151,9.593,-0.442
W,08/13/2014,7.8736,8.531,-0.6576,9.239,9.648,-0.409
T,08/12/2014,7.7439,8.509,-0.7647,9.287,9.695,-0.408
M,08/11/2014,10.4824,8.614,1.8686,9.286,9.778,-0.491
F,08/08/2014,10.1821,8.535,1.6473,9.261,9.775,-0.514
T,08/07/2014,9.7082,8.372,1.3358,9.206,9.88,-0.674
W,08/06/2014,9.4606,7.833,1.6273,9.053,9.811,-0.758
T,08/05/2014,11.0953,7.861,3.2339,9.108,9.835,-0.727
M,08/04/2014,8.8879,7.223,1.6644,8.982,9.743,-0.762
F,08/01/2014,9.0602,7.22,1.84,9.185,9.873,-0.688
T,07/31/2014,9.1067,7.332,1.7744,9.226,9.928,-0.701
W,07/30/2014,7.1438,7.557,-0.4128,9.093,9.868,-0.775
T,07/29/2014,4.7342,7.201,-2.4671,8.941,9.912,-0.971
M,07/28/2014,4.9362,7.734,-2.7979,8.972,9.914,-0.942
F,07/25/2014,5.2883,7.695,-2.4072,9.116,9.912,-0.795
T,07/24/2014,7.3517,7.814,-0.4625,9.443,9.986,-0.543
W,07/23/2014,9.928,8.251,1.6768,9.468,9.988,-0.521
T,07/22/2014,9.754,8.208,1.5461,9.549,10.066,-0.517
M,07/21/2014,9.5168,8.348,1.1685,9.517,10.068,-0.551
F,07/18/2014,9.5654,8.268,1.2976,9.489,10.118,-0.629
T,07/17/2014,7.8185,7.87,-0.052,9.363,10.063,-0.7
W,07/16/2014,4.3137,8.976,-4.6627,9.186,10.017,-0.831
T,07/15/2014,3.7445,9.859,-6.1146,9.198,10.047,-0.849
M,07/14/2014,3.9329,9.981,-6.0481,9.318,10.044,-0.727
F,07/11/2014,4.1711,10.067,-5.8959,9.288,10.036,-0.748
T,07/10/2014,4.0848,10.059,-5.9738,9.634,10.047,-0.414
W,07/09/2014,5.0639,10.15,-5.0864,9.663,10.193,-0.53
T,07/08/2014,8.4632,10.161,-1.6973,9.667,10.203,-0.537
M,07/07/2014,9.0194,10.513,-1.494,9.711,10.249,-0.537
F,07/04/2014,10.5392,10.779,-0.2393,9.864,10.234,-0.37
T,07/03/2014,10.5765,11.066,-0.4897,10.616,10.238,0.378
W,07/02/2014,10.6582,10.95,-0.2922,10.616,10.247,0.369
T,07/01/2014,9.8563,10.451,-0.5946,10.459,10.341,0.118
M,06/30/2014,9.3572,11.676,-2.3184,10.428,10.314,0.115
F,06/27/2014,8.1147,11.595,-3.4801,10.324,10.239,0.085
T,06/26/2014,8.145,11.662,-3.5174,10.323,10.337,-0.015
W,06/25/2014,7.5992,11.587,-3.9879,10.984,10.345,0.64
T,06/24/2014,12.2898,11.525,0.7649,10.9,10.294,0.606
M,06/23/2014,14.8471,11.475,3.3718,10.929,10.285,0.644
F,06/20/2014,14.7059,11.312,3.3939,10.868,10.251,0.616
T,06/19/2014,15.1672,11.395,3.7724,10.864,10.328,0.536
W,06/18/2014,15.0299,11.432,3.5984,10.997,10.449,0.548
T,06/17/2014,10.6256,10.177,0.4484,10.58,10.228,0.352
M,06/16/2014,6.2744,9.313,-3.039,10.335,10.174,0.162
F,06/13/2014,7.8292,9.166,-1.3366,10.294,10.154,0.14
T,06/12/2014,8.9271,9.349,-0.4221,10.284,10.136,0.148
W,06/11/2014,10.3,9.559,0.7411,10.319,10.148,0.171
T,06/10/2014,9.826,9.436,0.3901,10.304,10.142,0.163
M,06/09/2014,9.8366,9.429,0.408,10.365,10.267,0.099
F,06/06/2014,13.7714,8.974,4.7975,10.264,10.222,0.042
T,06/05/2014,13.7033,8.522,5.181,10.242,10.181,0.061
W,06/04/2014,12.9913,8.378,4.6129,10.152,10.291,-0.139
T,06/03/2014,13.1862,8.659,4.5271,10.294,10.349,-0.055
M,06/02/2014,14.0097,9.285,4.7251,10.29,10.348,-0.058
F,05/30/2014,8.2517,7.68,0.5715,9.798,10.175,-0.377
T,05/29/2014,6.2161,7.177,-0.9607,9.676,10.202,-0.526
W,05/28/2014,6.3581,7.068,-0.7098,9.722,10.286,-0.563
T,05/27/2014,6.5347,7.201,-0.6662,9.724,10.34,-0.616
M,05/26/2014,5.3106,7.425,-2.1143,9.631,10.493,-0.863
F,05/23/2014,5.6274,8.663,-3.0352,9.637,10.524,-0.887
T,05/22/2014,5.6281,8.717,-3.0889,9.854,10.523,-0.669
W,05/21/2014,7.1987,8.972,-1.7733,10.008,10.63,-0.623
T,05/20/2014,7.7981,8.871,-1.0727,9.98,10.839,-0.859
M,05/19/2014,7.1996,8.749,-1.5498,9.958,10.823,-0.864
F,05/16/2014,6.9598,8.699,-1.7393,9.953,10.827,-0.875
T,05/15/2014,6.8322,8.697,-1.865,10.081,11.359,-1.278
W,05/14/2014,4.1985,8.393,-4.1948,10.078,11.309,-1.23
T,05/13/2014,4.141,8.611,-4.4698,10.174,11.317,-1.143
M,05/12/2014,6.1252,8.62,-2.4946,10.193,11.317,-1.124
F,05/09/2014,9.2433,9.729,-0.4854,10.44,11.317,-0.877
T,05/08/2014,9.9577,9.838,0.1201,10.445,11.361,-0.916
W,05/07/2014,9.953,9.846,0.1069,10.5,11.373,-0.873
T,05/06/2014,9.1521,9.846,-0.6935,10.455,11.414,-0.959
M,05/05/2014,8.7601,10.181,-1.4204,10.62,11.38,-0.759
F,05/02/2014,8.1093,11.825,-3.7155,10.563,11.572,-1.009
T,05/01/2014,11.6415,11.794,-0.1528,10.516,11.571,-1.055
W,04/30/2014,11.8934,11.822,0.0711,10.729,11.637,-0.908
T,04/29/2014,12.9884,11.877,1.1115,10.752,12.106,-1.355
M,04/28/2014,12.4669,11.857,0.6099,10.711,12.085,-1.374
F,04/25/2014,10.8709,11.481,-0.6098,10.733,12.029,-1.297
T,04/24/2014,5.859,12.59,-6.7313,10.432,11.904,-1.472
W,04/23/2014,5.4982,12.586,-7.0876,10.587,12.029,-1.442
T,04/22/2014,3.1009,12.442,-9.3415,10.518,12.24,-1.722
M,04/21/2014,6.4594,12.447,-5.9874,10.637,12.243,-1.607
F,04/18/2014,6.5104,12.448,-5.9377,10.644,12.244,-1.6
T,04/17/2014,11.3192,12.843,-1.524,10.719,12.25,-1.531
W,04/16/2014,11.6386,12.879,-1.2407,10.785,12.296,-1.511
T,04/15/2014,11.3542,12.882,-1.5282,10.765,12.386,-1.621
M,04/14/2014,10.6236,12.604,-1.9809,10.661,12.336,-1.675
F,04/11/2014,12.679,12.716,-0.0375,10.683,12.336,-1.652
T,04/10/2014,16.5889,11.978,4.6112,10.656,12.202,-1.547
W,04/09/2014,16.6413,11.944,4.697,10.642,12.19,-1.548
T,04/08/2014,16.7008,12.106,4.5946,10.742,12.31,-1.568
M,04/07/2014,16.4039,12.029,4.3745,10.691,12.288,-1.597
F,04/04/2014,15.2284,11.82,3.4079,10.523,12.218,-1.695
T,04/03/2014,5.6638,9.626,-3.9621,9.826,11.897,-2.072
W,04/02/2014,14.7322,9.953,4.7792,10.152,11.879,-1.727
T,04/01/2014,14.8232,9.918,4.9055,10.141,11.881,-1.74
M,03/31/2014,15.0482,9.842,5.2066,10.117,11.91,-1.793
F,03/28/2014,14.6844,9.711,4.9734,10.274,11.891,-1.618
T,03/27/2014,14.6766,9.938,4.7386,10.335,12.099,-1.765
W,03/26/2014,7.8326,7.311,0.5212,9.588,11.79,-2.202
T,03/25/2014,7.8497,7.22,0.6295,9.566,11.836,-2.27
M,03/24/2014,7.5115,7.033,0.4783,9.513,11.939,-2.426
F,03/21/2014,7.6363,7.932,-0.2958,9.678,11.938,-2.26
T,03/20/2014,8.4108,8.633,-0.2223,9.949,11.994,-2.045
W,03/19/2014,6.1566,8.04,-1.8838,9.804,11.972,-2.168
T,03/18/2014,6.1621,8.001,-1.8391,9.96,12.007,-2.048
M,03/17/2014,6.8885,7.92,-1.031,9.941,12.815,-2.874
F,03/14/2014,7.3047,8.402,-1.0977,9.955,12.924,-2.969
T,03/13/2014,8.2719,8.627,-0.3548,9.929,12.908,-2.978
W,03/12/2014,7.8606,9.065,-1.2044,9.92,12.898,-2.978
T,03/11/2014,9.6847,9.053,0.6318,10.153,12.889,-2.736
M,03/10/2014,8.7452,9.679,-0.9341,10.131,12.875,-2.744
F,03/07/2014,8.2538,9.599,-1.3452,10.146,12.87,-2.724
T,03/06/2014,6.4138,9.443,-3.0288,10.359,12.961,-2.603
W,03/05/2014,7.5979,9.46,-1.8625,10.464,13.004,-2.54
T,03/04/2014,5.0491,9.804,-4.7546,10.327,13.129,-2.802
M,03/03/2014,5.0567,10.189,-5.1319,10.463,13.133,-2.67
F,02/28/2014,5.2348,10.203,-4.9681,10.63,13.151,-2.521
T,02/27/2014,9.1551,10.862,-1.7072,10.812,13.159,-2.347
W,02/26/2014,10.6593,10.732,-0.0727,10.867,13.227,-2.36
T,02/25/2014,10.4092,10.691,-0.2816,11.215,13.257,-2.042
M,02/24/2014,10.5615,11.162,-0.6004,11.273,13.376,-2.103
F,02/21/2014,10.587,11.155,-0.5678,11.271,13.39,-2.118
T,02/20/2014,9.5175,11.062,-1.5445,11.308,13.462,-2.154
W,02/19/2014,8.3833,10.625,-2.2415,11.558,14.365,-2.808
T,02/18/2014,10.5601,10.981,-0.4211,11.556,14.406,-2.85
M,02/17/2014,10.6445,10.968,-0.3238,11.567,14.795,-3.228
F,02/14/2014,13.3239,11.166,2.1574,12.537,14.821,-2.285
T,02/13/2014,11.9928,11.005,0.9878,12.427,14.824,-2.397
W,02/12/2014,11.4168,10.711,0.7055,12.404,15.097,-2.692
T,02/11/2014,9.6205,10.276,-0.6558,12.274,15.08,-2.806
M,02/10/2014,12.3796,10.296,2.084,12.26,15.085,-2.825
F,02/07/2014,10.9076,10.428,0.4798,12.133,15.13,-2.996
T,02/06/2014,10.8787,10.47,0.4091,12.149,15.143,-2.994
W,02/05/2014,12.7361,10.623,2.1126,12.23,15.136,-2.906
T,02/04/2014,12.8673,10.601,2.2661,12.217,15.26,-3.042
M,02/03/2014,10.0921,9.863,0.2291,12.517,15.201,-2.684
F,01/31/2014,10.623,9.66,0.9633,12.459,15.16,-2.702
T,01/30/2014,10.6206,10.764,-0.1431,12.577,15.181,-2.605
W,01/29/2014,10.1093,10.09,0.0191,13.261,15.137,-1.877
T,01/28/2014,10.1981,10.004,0.1942,13.239,15.221,-1.981
M,01/27/2014,11.6098,10.592,1.0182,13.241,15.224,-1.983
F,01/24/2014,9.6725,10.288,-0.6158,13.134,15.208,-2.074
T,01/23/2014,10.6384,10.306,0.332,13.373,15.232,-1.859
W,01/22/2014,9.2359,9.732,-0.4956,13.689,15.182,-1.492
T,01/21/2014,8.8337,9.62,-0.786,13.67,15.178,-1.507
M,01/20/2014,6.9699,9.729,-2.7588,13.579,15.31,-1.731
F,01/17/2014,7.2951,10.519,-3.2242,13.584,15.354,-1.77
T,01/16/2014,10.5134,10.336,0.1772,13.613,15.353,-1.741
W,01/15/2014,9.7747,10.624,-0.8491,13.738,15.376,-1.638
T,01/14/2014,11.0667,10.638,0.4283,13.734,15.375,-1.64
M,01/13/2014,11.0024,10.667,0.335,13.725,15.472,-1.747
F,01/10/2014,10.7993,10.659,0.1408,13.71,15.617,-1.907
T,01/09/2014,7.3601,9.829,-2.4686,13.494,15.815,-2.321
W,01/08/2014,12.0236,10.544,1.4797,13.695,15.823,-2.129
T,01/07/2014,10.762,10.35,0.4118,13.621,15.797,-2.176
M,01/06/2014,10.6709,10.466,0.2051,13.628,15.802,-2.174
F,01/03/2014,12.8236,11.362,1.4615,13.622,15.805,-2.182
T,01/02/2014,12.8654,11.522,1.3435,13.578,15.801,-2.222
W,01/01/2014,8.505,10.495,-1.9898,13.315,15.685,-2.37
T,12/31/2013,8.505,10.904,-2.399,13.385,15.738,-2.353
M,12/30/2013,8.505,11.393,-2.8877,13.385,15.78,-2.395
F,12/27/2013,7.8199,11.378,-3.5579,13.602,15.784,-2.181
T,12/26/2013,10.6648,11.562,-0.8975,13.571,15.764,-2.193
W,12/25/2013,10.7591,12.579,-1.8197,13.657,15.876,-2.218
T,12/24/2013,12.7115,12.739,-0.0273,13.87,15.889,-2.018
M,12/23/2013,12.8338,12.751,0.0829,13.871,15.97,-2.1
F,12/20/2013,11.3572,12.993,-1.6358,13.851,15.939,-2.088
T,12/19/2013,8.0997,13.476,-5.3763,13.737,15.901,-2.164
W,12/18/2013,8.219,13.434,-5.2148,13.8,15.915,-2.114
T,12/17/2013,9.4044,13.081,-3.6761,15.077,15.994,-0.917
M,12/16/2013,9.8522,15.597,-5.7452,15.26,16.213,-0.953
F,12/13/2013,10.1567,15.552,-5.395,15.249,16.227,-0.978
T,12/12/2013,13.4797,15.669,-2.1895,15.24,16.262,-1.022
W,12/11/2013,14.3527,15.618,-1.2657,15.223,16.389,-1.166
T,12/10/2013,11.8418,15.106,-3.2642,15.075,16.418,-1.344
M,12/09/2013,12.8555,15.22,-2.3643,15.057,16.444,-1.387
F,12/06/2013,14.1056,15.179,-1.0736,15.251,16.459,-1.207
T,12/05/2013,12.8815,14.832,-1.95,15.117,16.372,-1.255
W,12/04/2013,13.0165,14.581,-1.5642,15.347,16.345,-0.998
T,12/03/2013,16.5621,15.842,0.7198,15.351,16.344,-0.993
M,12/02/2013,15.954,15.665,0.2889,15.29,16.303,-1.013
F,11/29/2013,14.4934,15.618,-1.1245,15.19,16.249,-1.059
T,11/28/2013,15.0496,17.333,-2.2831,15.224,16.229,-1.006
W,11/27/2013,17.7479,17.094,0.6538,15.204,16.328,-1.124
T,11/26/2013,14.4629,16.36,-1.8968,15.144,16.202,-1.058
M,11/25/2013,14.0939,16.283,-2.1888,15.128,16.41,-1.282
F,11/22/2013,22.4414,16.873,5.5683,15.396,16.444,-1.048
T,11/21/2013,20.8745,17.509,3.365,16.895,16.365,0.53
W,11/20/2013,18.2778,16.67,1.6083,16.683,16.226,0.457
T,11/19/2013,18.2785,16.673,1.6054,17.352,16.229,1.123
M,11/18/2013,18.117,16.653,1.4637,17.388,16.232,1.156
F,11/15/2013,6.9425,14.554,-7.6111,16.783,15.864,0.92
T,11/14/2013,7.4212,15.076,-7.6549,17.323,15.864,1.459
W,11/13/2013,8.6256,14.91,-6.2843,17.339,15.852,1.487
T,11/12/2013,8.6247,14.911,-6.2864,17.359,15.852,1.507
M,11/11/2013,15.36,14.916,0.4435,17.581,15.869,1.712
F,11/08/2013,14.9339,14.72,0.2142,17.551,15.844,1.706
T,11/07/2013,15.9911,15.272,0.7188,17.557,15.881,1.675
W,11/06/2013,22.4456,14.972,7.4733,17.688,15.861,1.827
T,11/05/2013,22.4454,15.008,7.4374,17.731,15.873,1.858
M,11/04/2013,18.5547,13.663,4.8914,17.376,15.677,1.699
F,11/01/2013,18.3686,13.548,4.821,17.386,15.666,1.72
T,10/31/2013,19.5278,13.23,6.2978,17.353,15.618,1.734
W,10/30/2013,15.8858,10.586,5.2996,16.867,15.256,1.611
T,10/29/2013,15.9621,10.586,5.3758,16.878,15.274,1.603
M,10/28/2013,15.895,11.924,3.971,16.941,15.271,1.67
F,10/25/2013,15.8081,11.916,3.8923,16.972,15.268,1.703
T,10/24/2013,14.0523,11.404,2.6486,16.802,15.174,1.628
W,10/23/2013,10.1348,10.496,-0.3611,16.446,14.969,1.477
T,10/22/2013,10.034,10.47,-0.436,16.757,14.993,1.764
M,10/21/2013,10.019,10.85,-0.8309,16.841,15.018,1.823
F,10/18/2013,9.8964,11.12,-1.2235,16.879,15.02,1.86
T,10/17/2013,8.2839,11.08,-2.7957,16.897,14.993,1.903
W,10/16/2013,8.9488,15.242,-6.2932,16.749,14.919,1.83
T,10/15/2013,9.0688,15.815,-6.7465,16.932,14.971,1.961
M,10/14/2013,9.3039,15.825,-6.5208,17.209,15.004,2.205
F,10/11/2013,9.2469,15.833,-6.5864,17.732,15.01,2.722
T,10/10/2013,9.1574,15.821,-6.6634,17.755,15.105,2.65
W,10/09/2013,3.3513,15.299,-11.9478,17.604,15.011,2.593
T,10/08/2013,5.742,15.317,-9.5754,17.612,15.008,2.604
M,10/07/2013,5.3357,15.957,-10.6214,17.612,15.01,2.602
F,10/04/2013,12.5445,16.188,-3.6437,17.638,15.032,2.607
T,10/03/2013,12.7629,17.062,-4.2991,17.643,15.039,2.604
W,10/02/2013,13.8704,17.053,-3.1823,17.727,15.173,2.554
T,10/01/2013,15.6321,16.97,-1.3376,17.749,15.161,2.588
M,09/30/2013,15.6369,17.013,-1.376,17.87,15.166,2.703
F,09/27/2013,12.2439,16.557,-4.3135,17.591,15.001,2.59
T,09/26/2013,13.1492,16.707,-3.558,17.783,14.994,2.789
W,09/25/2013,12.9173,17.05,-4.1332,17.734,14.951,2.783
T,09/24/2013,24.8148,16.588,8.2268,17.714,14.871,2.843
M,09/23/2013,26.2828,17.341,8.9421,17.748,14.873,2.875
F,09/20/2013,25.6461,21.413,4.2334,17.756,14.829,2.928
T,09/19/2013,25.1298,21.423,3.7072,17.729,14.793,2.935
W,09/18/2013,24.5826,22.868,1.7145,17.91,14.76,3.15
T,09/17/2013,9.3491,20.083,-10.7337,17.164,14.096,3.068
M,09/16/2013,4.1398,19.858,-15.7183,17.034,13.996,3.037
F,09/13/2013,10.2089,21.237,-11.0285,17.111,13.995,3.116
T,09/12/2013,11.5428,21.384,-9.8408,17.359,13.993,3.366
W,09/11/2013,15.9771,21.433,-5.4555,17.56,14.021,3.539
T,09/10/2013,15.7955,21.944,-6.1482,17.615,14.01,3.606
M,09/09/2013,16.0324,21.984,-5.9516,17.658,14.013,3.646
F,09/06/2013,13.2166,21.553,-8.336,17.488,13.902,3.586
T,09/05/2013,14.4273,21.933,-7.5056,17.438,13.873,3.565
W,09/04/2013,10.6103,21.37,-10.7595,17.167,13.743,3.424
T,09/03/2013,13.859,21.358,-7.4989,17.166,13.743,3.422
M,09/02/2013,13.8045,21.386,-7.5815,17.138,13.727,3.411
F,08/30/2013,17.0825,21.488,-4.406,17.204,13.754,3.449
T,08/29/2013,30.4006,21.532,8.8683,17.32,13.663,3.657
W,08/28/2013,30.4637,21.411,9.053,17.261,13.632,3.629
T,08/27/2013,33.797,21.122,12.6751,17.505,13.515,3.991
M,08/26/2013,33.971,21.173,12.7983,17.546,13.512,4.034
F,08/23/2013,32.9257,20.613,12.3132,17.312,13.366,3.946
T,08/22/2013,25.0263,16.133,8.8933,15.701,12.317,3.384
W,08/21/2013,24.9901,16.9,8.0904,15.634,12.27,3.364
T,08/20/2013,18.363,14.964,3.3989,14.911,11.828,3.083
M,08/19/2013,20.3928,14.945,5.4479,14.854,11.797,3.057
F,08/16/2013,19.7671,14.955,4.8125,14.758,11.751,3.007
T,08/15/2013,12.6838,12.911,-0.2273,14.152,11.354,2.797
W,08/14/2013,15.2699,13.383,1.887,14.074,11.327,2.747
T,08/13/2013,15.6197,14.362,1.2574,14.088,11.32,2.768
M,08/12/2013,11.9572,15.461,-3.5042,13.825,11.16,2.665
F,08/09/2013,12.1692,15.459,-3.2901,13.895,11.138,2.756
T,08/08/2013,12.7703,15.44,-2.67,13.935,11.122,2.814
W,08/07/2013,11.6194,14.692,-3.0727,13.681,10.948,2.734
T,08/06/2013,10.951,14.568,-3.6168,13.633,10.982,2.65
M,08/05/2013,12.2456,14.665,-2.4195,13.643,10.983,2.66
F,08/02/2013,12.3473,14.541,-2.1939,13.597,10.968,2.629
T,08/01/2013,11.7015,14.686,-2.9847,13.528,10.93,2.598
W,07/31/2013,8.3707,14.372,-6.0016,13.361,10.802,2.559
T,07/30/2013,14.22,14.791,-0.5706,13.348,10.794,2.555
M,07/29/2013,14.4554,14.547,-0.0917,13.272,10.746,2.526
F,07/26/2013,14.4673,15.143,-0.6752,13.241,10.766,2.475
T,07/25/2013,15.4565,15.156,0.3006,13.217,10.945,2.273
W,07/24/2013,15.2739,15.629,-0.3546,13.26,10.934,2.326
T,07/23/2013,13.3123,14.677,-1.3651,12.917,10.694,2.223
M,07/22/2013,16.2194,14.687,1.5325,12.82,10.655,2.165
F,07/19/2013,21.9506,14.65,7.3005,12.792,10.625,2.167
T,07/18/2013,21.3356,15.229,6.1065,12.698,10.557,2.141
W,07/17/2013,21.4953,16.612,4.8836,12.819,10.562,2.257
T,07/16/2013,19.6861,16.15,3.5363,12.654,10.417,2.236
M,07/15/2013,16.3997,15.492,0.9074,12.292,10.203,2.089
F,07/12/2013,6.4973,14.497,-7.9995,11.769,9.745,2.024
T,07/11/2013,5.6928,15.134,-9.4408,11.74,9.729,2.011
W,07/10/2013,8.2259,15.34,-7.1138,11.717,9.728,1.989
T,07/09/2013,9.7964,15.481,-5.685,11.718,9.735,1.983
M,07/08/2013,12.1408,15.529,-3.3885,11.758,9.73,2.029
F,07/05/2013,11.6395,15.501,-3.8614,11.738,9.76,1.978
T,07/04/2013,15.0807,15.486,-0.4048,12.079,9.771,2.308
W,07/03/2013,13.9926,15.172,-1.179,11.991,9.718,2.274
T,07/02/2013,15.1116,14.899,0.2123,11.894,9.649,2.245
M,07/01/2013,13.7186,14.735,-1.0164,11.713,9.552,2.16
F,06/28/2013,15.0376,15.649,-0.6118,11.713,9.551,2.162
T,06/27/2013,12.1525,14.916,-2.7638,11.4,9.363,2.037
W,06/26/2013,15.7557,16.301,-0.5449,11.413,9.345,2.068
T,06/25/2013,19.1419,16.026,3.1162,11.19,9.213,1.977
M,06/24/2013,19.1795,15.919,3.2607,11.138,9.408,1.731
F,06/21/2013,19.1089,15.674,3.4347,11.01,9.328,1.682
T,06/20/2013,21.5189,15.577,5.9422,10.961,9.296,1.665
W,06/19/2013,21.0482,14.774,6.2746,10.676,9.11,1.566
T,06/18/2013,17.069,13.204,3.8646,9.997,8.715,1.282
M,06/17/2013,17.2844,13.054,4.2308,9.932,8.771,1.161
F,06/14/2013,16.5458,12.833,3.7133,9.797,8.724,1.073
T,06/13/2013,12.9895,11.731,1.2587,9.425,8.534,0.892
W,06/12/2013,8.8128,10.918,-2.1056,9.045,8.325,0.72
T,06/11/2013,6.7926,10.615,-3.8224,8.93,8.272,0.658
M,06/10/2013,4.6575,10.758,-6.1002,8.864,8.228,0.636
F,06/07/2013,6.8149,10.908,-4.0927,8.863,8.203,0.66
T,06/06/2013,12.4463,10.92,1.5266,8.953,8.185,0.768
W,06/05/2013,12.4397,10.943,1.4968,8.963,8.188,0.776
T,06/04/2013,18.5746,10.966,7.6083,8.959,8.305,0.654
M,06/03/2013,19.3564,10.979,8.3777,9.068,8.354,0.713
F,05/31/2013,18.4554,10.588,7.8673,8.917,8.285,0.632
T,05/30/2013,15.1455,9.364,5.7817,8.417,8.084,0.333
W,05/29/2013,15.2405,9.365,5.8751,8.417,8.507,-0.09
T,05/28/2013,6.9966,6.549,0.4475,7.535,8.092,-0.557
M,05/27/2013,4.4779,6.168,-1.6896,7.412,8.04,-0.628
F,05/24/2013,4.3828,6.157,-1.7745,7.418,8.047,-0.629
T,05/23/2013,4.9918,6.439,-1.4473,7.39,8.033,-0.643
W,05/22/2013,4.6872,6.745,-2.0576,7.484,8.179,-0.695
T,05/21/2013,5.1985,6.669,-1.4708,7.458,8.168,-0.71
M,05/20/2013,5.6827,6.845,-1.1626,7.502,8.26,-0.757
F,05/17/2013,8.3157,6.971,1.3448,7.515,8.264,-0.748
T,05/16/2013,9.046,7.445,1.601,7.519,8.236,-0.717
W,05/15/2013,9.5688,7.849,1.7195,7.546,8.261,-0.715
T,05/14/2013,8.9396,7.722,1.2175,7.517,8.228,-0.711
M,05/13/2013,8.8308,8.728,0.1024,7.485,8.235,-0.749
F,05/10/2013,6.4698,8.249,-1.7796,7.291,8.162,-0.871
T,05/09/2013,4.1951,7.892,-3.697,7.171,8.111,-0.939
W,05/08/2013,4.7288,7.84,-3.1114,7.328,8.098,-0.769
T,05/07/2013,4.4934,8.056,-3.5629,7.319,8.105,-0.786
M,05/06/2013,4.48,8.087,-3.607,7.345,8.096,-0.751
F,05/03/2013,5.3104,9.528,-4.2178,7.354,8.096,-0.741
T,05/02/2013,5.3834,9.712,-4.3285,7.359,8.1,-0.74
W,05/01/2013,5.9385,9.587,-3.6488,7.283,8.065,-0.782
