idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
14967	5740e857f0f8937c63755d07	216	12	839	30	Bacon and Tomato Cups	779	4.64406776428223	42	2001
15004	5740e870f0f8937c63755d12	177	12	9000	15	Award Winning Soft Chocolate Chip Cookies	8023	4.65247344970703	100	2001
15821	5740e883f0f8937c63755d1c	124	20	2000	10	Aunt Teen's Creamy Chocolate Fudge	1758	4.60368871688843	30	2001
16348	5740e897f0f8937c63755d27	457	90	5000	30	Baked Pork Chops I	4130	4.54315376281738	120	2001
16955	5740e8acf0f8937c63755d30	234	30	2000	15	Homesteader Cornbread	1755	4.48037481307983	50	2001
20156	5740e8c1f0f8937c63755d40	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2001
26692	5740e8d2f0f8937c63755d4b	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2001
6820	5740e8e4f0f8937c63755d58	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2001
6984	5740e900f0f8937c63755d66	263	60	1000	10	Banana Sour Cream Bread	3783	4.76799535751343	70	2001
7177	5740e910f0f8937c63755d6f	165	45	776	30	Bread Pudding II	2370	4.71057033538818	75	2001
7612	5740e924f0f8937c63755d77	604	60	49	30	Chocolate Lovers' Favorite Cake	812	4.68108654022217	120	2001
8694	5740e93af0f8937c63755d82	619	30	719	15	Chicken Enchiladas II	2987	4.55924844741821	45	2001
10497	5740e951f0f8937c63755d90	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2002
10642	5740e963f0f8937c63755d9c	253	10	45	20	Caramel Filled Chocolate Cookies	652	4.65079355239868	180	2002
10687	5740e976f0f8937c63755da8	92	10	1000	20	Mrs. Sigg's Snickerdoodles	4038	4.73642683029175	60	2002
12009	5740e988f0f8937c63755db8	1109	15	2000	15	Cajun Chicken Pasta	1703	4.67338705062866	30	2002
12409	5740ea3bf0f8937c63755dc4	316	45	6000	30	Apple Crisp II	4388	4.69281482696533	80	2002
12504	5740ea66f0f8937c63755dd3	463	60	880	30	Brown Family's Favorite Pumpkin Pie	830	4.68194580078125	90	2002
12682	5740ea75f0f8937c63755ddb	512	60	9000	30	Apple Pie by Grandma Ople	6944	4.770592212677	90	2002
12720	5740ea86f0f8937c63755de4	318	16	4000	15	Grilled Salmon I	3023	4.75114679336548	151	2002
13477	5740ea98f0f8937c63755def	426	40	3000	30	Double Layer Pumpkin Cheesecake	2190	4.77329587936401	250	2002
14469	5740eaa5f0f8937c63755dfc	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2002
15633	5740eab5f0f8937c63755e09	381	65	2000	20	Gourmet Sweet Potato Classic	1632	4.78949737548828	85	2002
15867	5740eac7f0f8937c63755e0e	376	30	986	15	Chicken and Dumplings III	894	4.57129955291748	45	2002
17165	5740ead5f0f8937c63755e1b	143	10	5000	15	Big Soft Ginger Cookies	4096	4.73919439315796	50	2002
17652	5740eadef0f8937c63755e28	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2002
20156	5740eae9f0f8937c63755e38	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2002
