idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
6788	5740f4e7f0f8937c63756482	168	40	1000	20	Amish White Bread	3892	4.79371356964111	150	2009
6820	5740f4f9f0f8937c6375648f	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2009
6984	5740f50af0f8937c6375649d	263	60	1000	10	Banana Sour Cream Bread	3783	4.76799535751343	70	2009
7402	5740f51df0f8937c637564ae	575	60	1000	30	Carrot Cake III	4650	4.71916103363037	120	2009
7565	5740f532f0f8937c637564b6	600		1000		Too Much Chocolate Cake	4770	4.77514696121216		2009
8669	5740f547f0f8937c637564c1	584	45	1000	15	Chicken Cordon Bleu II	4189	4.77739000320435	60	2009
10549	5740f55ff0f8937c637564cf	183	35	3000	25	Best Brownies	7037	4.52471160888672	60	2010
10813	5740f62bf0f8937c637564db	298	10	6000	20	Best Chocolate Chip Cookies	7681	4.60196161270142	60	2010
141678	5740f642f0f8937c637564e0	335	420	4000	10	Slow Cooker Pulled Pork	3153	4.60698795318604	430	2010
143809	5740f654f0f8937c637564eb	145		3000	15	Best Steak Marinade in Existence	2045	4.57059907913208	15	2010
14565	5740f664f0f8937c637564f5	211	7	2000	30	Naan	1579	4.70650100708008	180	2010
162760	5740f673f0f8937c63756500	230	10	13000	10	Fluffy Pancakes	8208	4.81832933425903	25	2010
16383	5740f683f0f8937c63756507	216	20	3000	10	Basic Crepes	2032	4.65264272689819	30	2010
16895	5740f696f0f8937c63756510	123	20	4000	10	Fluffy French Toast	2381	4.61879396438599	30	2010
17991	5740f6a9f0f8937c6375651d	463	30	2000	30	Stuffed Green Peppers I	1756	4.52204990386963	60	2010
21261	5740f6c1f0f8937c63756529	226	30	4000	30	Yummy Sweet Potato Casserole	2123	4.77430438995361	60	2010
22831	5740f6d4f0f8937c6375652f	439	10	4000	10	Alfredo Sauce	2341	4.52960538864136	20	2010
24332	5740f6e6f0f8937c63756539	422	75	3000	15	Ultimate Twice Baked Potatoes	2097	4.71738386154175	90	2010
43655	5740f6f6f0f8937c63756543	NA	240	2000	30	Perfect Turkey	1146	4.81061124801636	1020	2010
46653	5740f707f0f8937c6375654d	5		6000	1	Taco Seasoning I	3836	4.81518220901489	1	2010
51535	5740f71bf0f8937c6375655e	562	40	3000	20	Fresh Southern Peach Cobbler	2137	4.70922756195068	60	2010
54614	5740f72ef0f8937c63756566	NA	15	1000	5	Turkey Brine	797	4.81646156311035	500	2010
65896	5740f73df0f8937c6375656c	300	240	5000	10	Zesty Slow Cooker Chicken Barbecue	3680	4.56883144378662	250	2010
7177	5740f750f0f8937c63756575	165	45	776	30	Bread Pudding II	2370	4.71057033538818	75	2010
8887	5740f764f0f8937c63756580	448	20	848	10	Chicken Marsala	3385	4.5356183052063	30	2010
9832	5740f772f0f8937c63756588	110		214	10	No Bake Cookies I	710	4.6158127784729	45	2010
19163	5740f78bf0f8937c63756590	108	5	1000	15	Luscious Slush Punch	1028	4.85096502304077	500	2011
216759	5740f79bf0f8937c63756597	69		307	10	The Perfect Cinnamon Roll Icing	180	4.8728814125061	10	2011
216888	5740f7aef0f8937c637565b1	296	160	716	60	Good New Orleans Creole Gumbo	356	4.91415309906006	220	2011
216909	5740f7c1f0f8937c637565b7	179	20	164	15	Stuffed Jalapeno Firecrackers	150	4.7315788269043	35	2011
217092	5740f7d2f0f8937c637565c1	528	60	201	5	Caramelized Chicken Wings	171	4.69856452941895	65	2011
217181	5740f7e3f0f8937c637565d2	546	60	383	15	Best Bread Pudding with Vanilla Sauce	229	4.84249067306519	85	2011
217267	5740f7f1f0f8937c637565da	528	10	129	10	Jalapeno Popper Grilled Cheese Sandwich	114	4.71794891357422	20	2011
217899	5740f800f0f8937c637565e9	486	35	259	35	Mozzarella-Stuffed Pesto Turkey Meatballs	156	4.78240728378296	70	2011
217962	5740f80ef0f8937c637565f6	299	35	180	35	Jan's Pretzel Dogs	150	4.78074884414673	130	2011
218057	5740f81ff0f8937c63756605	186	390	244	15	Chicken Enchilada Slow Cooker Soup	150	4.72146129608154	405	2011
218093	5740f830f0f8937c6375660f	380	10	455	10	Heather's Grilled Salmon	358	4.83101367950439	80	2011
218597	5740f842f0f8937c63756616	190	35	202	10	Roasted Swiss Chard with Feta	163	4.78508758544922	45	2011
218614	5740f854f0f8937c63756620	183	20	283	15	Whole Wheat Blueberry Muffins	240	4.71864414215088	35	2011
218671	5740f863f0f8937c63756630	259	10	289	25	Whole Grain Breakfast Cookies	199	4.77729272842407	50	2011
218787	5740f86cf0f8937c6375663b	151	35	144	20	Jalapeno Popper Mushrooms	102	4.82068967819214	55	2011
218791	5740f87af0f8937c63756649	234	90	221	30	Jersey Fresh Tomato Soup	136	4.7318434715271	120	2011
219046	5740f888f0f8937c6375665c	567	85	479	15	Rich and Creamy Beef Stroganoff	291	4.73753261566162	110	2011
219077	5740f89df0f8937c63756661	333	20	756	20	Chef John's Perfect Mashed Potatoes	320	4.80128192901611	40	2011
219330	5740f8b2f0f8937c6375666d	89	15	254	15	Toddler Muffins	207	4.75925922393799	30	2011
219337	5740f983f0f8937c6375667a	213	10	198	15	Broiled Parmesan-Lemon Tilapia	171	4.73306751251221	25	2011
219967	5740f9adf0f8937c63756688	334	70	577	15	Chef John's Banana Bread	305	4.69576740264893	105	2012
220125	5740f9bff0f8937c63756698	777	390	2000	20	Slow Cooker Beef Pot Roast	589	4.73722648620605	410	2012
220127	5740f9d5f0f8937c637566a7	467	40	677	20	Chef John's Ham and Potato Soup	345	4.84459447860718	60	2012
220195	5740f9edf0f8937c637566ad	46	15	301	5	Roasted Asparagus with Parmesan	176	4.78888893127441	20	2012
220597	5740fa03f0f8937c637566b9	196	10	1000	15	Simple Garlic Shrimp	448	4.80479431152344	25	2012
220661	5740fa1bf0f8937c637566c6	245	20	697	15	Quinoa Black Bean Burgers	529	4.69889497756958	35	2012
220854	5740fa29f0f8937c637566d5	82	35	1000	20	Chef John's Italian Meatballs	546	4.78431367874146	135	2012
220943	5740fa45f0f8937c637566dd	143	15	887	20	Chef John's Buttermilk Biscuits	483	4.73553705215454	35	2012
221950	5740fa60f0f8937c637566eb	615	20	379	20	Chef John's Caramel Chicken	273	4.6811990737915	40	2012
221958	5740fa73f0f8937c637566f1	1757	140	1000	10	Chef John's Perfect Prime Rib	526	4.74384260177612	390	2012
222002	5740fa84f0f8937c63756704	377	80	2000	30	Chef John's Stuffed Peppers	659	4.78093099594116	110	2012
222134	5740fa95f0f8937c6375670e	180	10	392	5	Healthier Broiled Tilapia Parmesan	254	4.76756763458252	15	2012
222619	5740faadf0f8937c63756719	241	20	642	10	Sweet Corn Bread	321	4.66995096206665	40	2012
223042	5740fabff0f8937c63756727	676	20	2000	25	Chicken Parmesan	988	4.81917190551758	60	2012
228293	5740fad1f0f8937c6375673a	328	65	830	15	Curry Stand Chicken Tikka Masala Sauce	515	4.91228055953979	80	2012
229088	5740fadff0f8937c63756743	618	40	645	20	Apple Crisp with Oat Topping	244	4.72025728225708	60	2012
229156	5740faedf0f8937c63756750	270	10	948	20	Zesty Quinoa Salad	544	4.75378274917603	30	2012
229730	5740fafaf0f8937c63756766	600	70	384	20	Sweet Potato and Black Bean Chili	231	4.74489784240723	90	2012
229733	5740fb07f0f8937c6375676b	177	25	1000	15	Simple Roasted Butternut Squash	399	4.74615383148193	40	2012
230050	5740fb1bf0f8937c63756779	342	15	407	25	Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette	249	4.74063396453857	40	2012
230665	5740fb36f0f8937c6375677e	284	45	373	10	Barbeque Bacon Chicken Bake	105	4.53020143508911	55	2013
230683	5740fb49f0f8937c63756787	358	30	120	15	Sour Cream Cornbread	93	4.7788462638855	45	2013
230874	5740fb5bf0f8937c63756793	296	20	111	15	Easy Peanut Butter Bars	66	4.59999990463257	35	2013
230966	5740fb6af0f8937c6375679c	377	60	130	15	Country Sunday Breakfast Casserole	71	4.55555534362793	85	2013
231008	5740fb76f0f8937c637567ad	276	35	249	20	Garlic and Parmesan Chicken Wings	105	4.70503616333008	70	2013
231082	5740fc37f0f8937c637567bc	326	80	404	15	Just Like Wendy's Chili	194	4.82683992385864	95	2013
231449	5740fc53f0f8937c637567c4	615	45	456	10	Baked Split Chicken Breast	179	4.63963985443115	100	2013
231457	5740fc66f0f8937c637567d0	160	65	161	25	Pesto Spaghetti Squash	98	4.46762609481812	100	2013
231510	5740fc72f0f8937c637567da	224	30	310	20	Amazing Muffin Cups	213	4.62313413619995	50	2013
231514	5740fc7ef0f8937c637567e7	509	40	229	15	Vegetarian Mexican Inspired Stuffed Peppers	122	4.78395080566406	55	2013
231643	5740fc8df0f8937c637567f8	227	20	202	20	Hearty Breakfast Muffins	114	4.62857151031494	50	2013
231644	5740fc9bf0f8937c63756806	268	15	284	15	Chicken Souvlaki with Tzatziki Sauce	155	4.7079644203186	150	2013
232326	5740fcabf0f8937c6375680e	321	30	137	15	Healthy Mexican Chicken Bake	62	4.69473695755005	45	2013
232429	5740fcbaf0f8937c63756819	177	40	55	15	Ryan's Reverse Popper Dip	48	4.61403512954712	55	2013
232546	5740fcc7f0f8937c63756828	443	30	157	25	Easy Chicken and Corn Chowder	105	4.66386556625366	70	2013
232799	5740fcd6f0f8937c63756835	153	50	836	20	Chef John's Lemon Bars	342	4.8135199546814	100	2013
232922	5740fce7f0f8937c63756840	208	30	498	20	Apple Cinnamon White Cake	253	4.48543691635132	50	2013
232967	5740fcf8f0f8937c6375684a	21		744	5	Fajita Seasoning	253	4.71954679489136	5	2013
233074	5740fd0ef0f8937c63756853	263	10	590	10	Grandad's Pancakes	249	4.60624980926514	20	2013
233393	5740fd21f0f8937c6375685e	162	30	285	15	Oven Roasted Parmesan Potatoes	146	4.74226808547974	45	2013
234033	5740fd3af0f8937c63756866	216	12	124	20	Sadie's Buttermilk Biscuits	58	4.92537307739258	32	2014
235997	5740fd4ef0f8937c63756870	398	35	1000	20	Unstuffed Cabbage Roll	376	4.55963325500488	55	2014
236165	5740fd5cf0f8937c6375687d	236	10	179	15	Fluffy and Delicious Pancakes	81	4.64864873886108	30	2014
236212	5740fd69f0f8937c63756882	157		210	10	Homemade Melt-In-Your-Mouth Dark Chocolate (Paleo)	78	4.61797761917114	70	2014
236459	5740fd77f0f8937c63756888	62		96	20	Cheesecake-Stuffed Strawberries	41	4.95652151107788	20	2014
237000	5740fd85f0f8937c63756892	94		30	10	Green Power Mojito Smoothie	13	5	10	2014
237320	5740fd94f0f8937c6375689d	490	155	318	20	Sherry Braised Beef Short Ribs	148	4.83243227005005	175	2014
237474	5740fda4f0f8937c637568ab	326	105	37	20	Chef John's Roasted Leg of Lamb	18	5	620	2014
238987	5740fdb6f0f8937c637568af	113	5	106	10	Paleo Cauliflower Rice	46	4.58620691299438	15	2014
239047	5740fdc4f0f8937c637568b8	662	25	932	15	One Pan Orecchiette Pasta	275	4.5625	40	2014
239534	5740fdd5f0f8937c637568c8	367	50	214	15	Midwest Salisbury Steak	89	4.66379308700562	65	2014
239576	5740fde4f0f8937c637568d0	121		37	15	Lick-the-Spoon Cilantro Jalapeno Aioli	23	5	15	2014
239869	5740fdf2f0f8937c637568d4	87	40	170	10	Butter-Roasted Cauliflower	72	4.69148921966553	50	2014
239969	5740fe00f0f8937c637568db	94		778	15	No-Bake Energy Bites	136	4.8203592300415	75	2014
239993	5740fe0ff0f8937c637568e5	250	20	386	10	Chef John's Dutch Babies	140	4.84795331954956	30	2014
240060	5740fe22f0f8937c637568ed	196	45	265	10	Loaded Cauliflower	94	4.51181125640869	55	2014
240130	5740fe34f0f8937c637568fb	263	10	280	15	Scrumptious Salmon Cakes	125	4.61688327789307	25	2014
240331	5740fe47f0f8937c63756906	343	30	187	10	Sandy's Homemade Broccoli and Cheddar Soup	74	4.79569911956787	40	2014
240502	5740fe58f0f8937c6375690f	382	35	455	15	Easy French Toast Casserole	105	4.60504198074341	530	2014
240752	5740fe68f0f8937c6375691b	455	155	93	15	Chef John's Honey-Glazed Ham	27	5	170	2014
240784	5740fe81f0f8937c63756922	94		504	10	Easy Coleslaw Dressing	135	4.75796175003052	10	2015
241001	5740fe90f0f8937c6375692d	315	55	175	5	Crispy Honey Sriracha Chicken Wings	72	4.65853643417358	60	2015
241019	5740fea4f0f8937c63756931	257		38	10	Spinach and Banana Power Smoothie	11	5	10	2015
241038	5740feb9f0f8937c6375693b	603	2	205	5	Microwave Chocolate Mug Cake	70	4.63749980926514	7	2015
241059	5740fecef0f8937c63756944	343	50	46	10	Heavenly Lemon Cake	35	4.58333349227905	60	2015
241066	5740fedef0f8937c63756954	449	25	89	15	One Skillet Mexican Quinoa	22	4.7857141494751	40	2015
241266	5740feeff0f8937c63756962	231	15	39	15	Pho Ga Soup	12	5	30	2015
241707	5740ff02f0f8937c6375696a	225	60	538	15	Joy's Easy Banana Bread	123	4.78030300140381	75	2015
241760	5740ff1cf0f8937c63756971	508		71	15	Easy Energy Balls	23	4.77419376373291	15	2015
241834	5740ff29f0f8937c63756978	224	30	98	15	Oven Roasted Sweet Potatoes	29	4.94285726547241	45	2015
241872	5740ff39f0f8937c6375697c	160		22	5	Sriracha Aioli	11	4.81818199157715	5	2015
241941	5740ff50f0f8937c6375698a	318	15	120	20	Apple-Sage Pork Chops	39	4.67346954345703	35	2015
242331	5740ff61f0f8937c63756991	267		52	10	Nutella Coffee Shake	16	4.90476179122925	10	2015
244251	5740ff71f0f8937c63756999	279		135	5	No-Cook Overnight Oatmeal	36	4.65957450866699	485	2015
244346	5740ff81f0f8937c637569ad	344	20	35	30	Canadian Pork Loin Chops	16	4.94736862182617	290	2015
244389	5740ff90f0f8937c637569b7	372	20	182	5	Avocado Breakfast Bowl	29	4.59459447860718	25	2015
244458	5740ffa4f0f8937c637569bc	294	10	46	5	Buttered Noodles	11	5	15	2015
244614	5740ffb8f0f8937c637569c0	98	10	226	10	3-Ingredient Peanut Butter Cookies	44	4.61702108383179	22	2015
244830	5740ffccf0f8937c637569c8	226	10	32	8	Toasted Breakfast Burritos	13	5	18	2015
245752	5740ffdbf0f8937c637569d3	121	15	16	10	Buffalo Cauliflower Florets	10	4.63636350631714	30	2015
